weather_id,project_id,date,rainfall_mm,temperature_c,weather_severity,work_stop_flag,work_stopped,severity_score,heavy_rainfall_flag,extreme_temp_flag
52,1,2022-06-02,16.00,43.00,Normal,N,0,1,0,1
53,1,2022-06-03,56.00,25.00,Normal,N,0,1,0,0
54,1,2022-06-04,23.00,34.00,Normal,N,0,1,0,0
55,1,2022-06-05,114.00,27.00,Normal,N,0,1,1,0
56,1,2022-06-06,104.00,34.00,Moderate,N,0,2,1,0
57,1,2022-06-07,135.00,42.00,Normal,N,0,1,1,1
58,1,2022-06-08,126.00,28.00,Normal,N,0,1,1,0
59,1,2022-06-09,54.00,40.00,Normal,N,0,1,0,0
60,1,2022-06-10,87.00,40.00,Normal,N,0,1,0,0
61,1,2022-06-11,99.00,35.00,Normal,N,0,1,0,0
62,1,2022-06-12,70.00,31.00,Severe,Y,1,3,0,0
63,1,2022-06-13,71.00,37.00,Normal,N,0,1,0,0
64,1,2022-06-14,13.00,38.00,Moderate,N,0,2,0,0
65,1,2022-06-15,51.00,37.00,Normal,N,0,1,0,0
66,1,2022-06-16,79.00,25.00,Moderate,N,0,2,0,0
67,1,2022-06-17,10.00,37.00,Moderate,N,0,2,0,0
68,1,2022-06-18,21.00,24.00,Normal,N,0,1,0,0
69,1,2022-06-19,55.00,27.00,Normal,N,0,1,0,0
70,1,2022-06-20,106.00,38.00,Normal,N,0,1,1,0
71,1,2022-06-21,115.00,30.00,Normal,N,0,1,1,0
72,1,2022-06-22,139.00,24.00,Normal,N,0,1,1,0
73,1,2022-06-23,85.00,37.00,Moderate,N,0,2,0,0
74,1,2022-06-24,113.00,37.00,Normal,N,0,1,1,0
75,1,2022-06-25,9.00,33.00,Normal,N,0,1,0,0
76,1,2022-06-26,130.00,31.00,Normal,N,0,1,1,0
77,1,2022-06-27,111.00,27.00,Severe,Y,1,3,1,0
78,1,2022-06-28,4.00,24.00,Normal,N,0,1,0,0
79,1,2022-06-29,108.00,26.00,Normal,N,0,1,1,0
80,1,2022-06-30,131.00,34.00,Severe,Y,1,3,1,0
81,1,2022-07-01,15.00,39.00,Moderate,N,0,2,0,0
82,1,2022-07-02,41.00,36.00,Normal,N,0,1,0,0
83,1,2022-07-03,92.00,40.00,Severe,Y,1,3,0,0
84,1,2022-07-04,15.00,26.00,Moderate,N,0,2,0,0
85,1,2022-07-05,42.00,39.00,Normal,N,0,1,0,0
86,1,2022-07-06,113.00,29.00,Moderate,N,0,2,1,0
87,1,2022-07-07,107.00,36.00,Severe,Y,1,3,1,0
88,1,2022-07-08,39.00,30.00,Moderate,N,0,2,0,0
89,1,2022-07-09,86.00,40.00,Moderate,N,0,2,0,0
90,1,2022-07-10,102.00,40.00,Normal,N,0,1,1,0
91,1,2022-07-11,89.00,34.00,Normal,N,0,1,0,0
92,1,2022-07-12,72.00,27.00,Moderate,N,0,2,0,0
93,1,2022-07-13,56.00,26.00,Normal,N,0,1,0,0
94,1,2022-07-14,84.00,24.00,Normal,N,0,1,0,0
95,1,2022-07-15,121.00,36.00,Normal,N,0,1,1,0
96,1,2022-07-16,51.00,41.00,Normal,N,0,1,0,1
97,1,2022-07-17,60.00,27.00,Normal,N,0,1,0,0
98,1,2022-07-18,62.00,24.00,Normal,N,0,1,0,0
99,1,2022-07-19,87.00,35.00,Normal,N,0,1,0,0
100,1,2022-07-20,105.00,36.00,Moderate,N,0,2,1,0
