update_id,task_id,project_id,update_date,planned_pct_complete,actual_pct_complete,actual_start_date,actual_finish_date,status_flag,delay_reason_code,remarks,progress_variance,progress_velocity,days_since_start,is_completed,is_delayed
36,10002,1,2024-04-21,54.00,45.00,2024-03-10,NULL,"In Progress","Approval Pending",,-9.00,0.833,42,0,1
37,10002,1,2024-04-28,63.00,52.00,2024-03-10,NULL,Blocked,"Material Delay",,-11.00,0.825,49,0,1
38,10002,1,2024-05-05,72.00,59.00,2024-03-10,NULL,Blocked,"Approval Pending",,-13.00,0.819,56,0,1
39,10002,1,2024-05-12,81.00,67.00,2024-03-10,NULL,"In Progress",None,,-14.00,0.827,63,0,1
40,10002,1,2024-05-19,90.00,70.00,2024-03-10,NULL,"In Progress","Weather Impact",,-20.00,0.778,70,0,1
41,10003,1,2022-12-22,0.00,12.00,2022-12-22,NULL,Blocked,None,,12.00,NULL,0,0,0
42,10003,1,2022-12-29,5.00,14.00,2022-12-22,NULL,"In Progress","Material Delay",,9.00,2.800,7,0,0
43,10003,1,2023-01-05,11.00,16.00,2022-12-22,NULL,"In Progress","Material Delay",,5.00,1.455,14,0,0
44,10003,1,2023-01-12,17.00,27.00,2022-12-22,NULL,"In Progress","Labour Shortage",,10.00,1.588,21,0,0
45,10003,1,2023-01-19,23.00,31.00,2022-12-22,NULL,Blocked,"Weather Impact",,8.00,1.348,28,0,0
46,10003,1,2023-01-26,29.00,36.00,2022-12-22,NULL,"In Progress","Approval Pending",,7.00,1.241,35,0,0
47,10003,1,2023-02-02,35.00,43.00,2022-12-22,NULL,Blocked,"Material Delay",,8.00,1.229,42,0,0
48,10003,1,2023-02-09,41.00,50.00,2022-12-22,NULL,"In Progress",None,,9.00,1.220,49,0,0
49,10003,1,2023-02-16,47.00,50.00,2022-12-22,NULL,Blocked,"Material Delay",,3.00,1.064,56,0,0
50,10003,1,2023-02-23,52.00,55.00,2022-12-22,NULL,"In Progress",None,,3.00,1.058,63,0,0
51,10003,1,2023-03-02,58.00,62.00,2022-12-22,NULL,Blocked,None,,4.00,1.069,70,0,0
52,10003,1,2023-03-09,64.00,64.00,2022-12-22,NULL,"In Progress","Approval Pending",,0.00,1.000,77,0,0
53,10003,1,2023-03-16,70.00,74.00,2022-12-22,NULL,Blocked,"Approval Pending",,4.00,1.057,84,0,0
54,10003,1,2023-03-23,76.00,79.00,2022-12-22,NULL,Blocked,"Material Delay",,3.00,1.039,91,0,0
55,10003,1,2023-03-30,82.00,90.00,2022-12-22,NULL,"In Progress","Material Delay",,8.00,1.098,98,0,0
56,10003,1,2023-04-06,88.00,90.00,2022-12-22,NULL,Blocked,"Approval Pending",,2.00,1.023,105,0,0
57,10003,1,2023-04-13,94.00,92.00,2022-12-22,NULL,Blocked,None,,-2.00,0.979,112,0,1
58,10004,1,2022-06-15,0.00,6.00,2022-06-15,NULL,Blocked,"Weather Impact",,6.00,NULL,0,0,0
59,10004,1,2022-06-22,3.00,8.00,2022-06-15,NULL,"In Progress",None,,5.00,2.667,7,0,0
60,10004,1,2022-06-29,7.00,12.00,2022-06-15,NULL,Blocked,"Approval Pending",,5.00,1.714,14,0,0
61,10004,1,2022-07-06,11.00,23.00,2022-06-15,NULL,"In Progress","Weather Impact",,12.00,2.091,21,0,0
62,10004,1,2022-07-13,15.00,27.00,2022-06-15,NULL,Blocked,None,,12.00,1.800,28,0,0
63,10004,1,2022-07-20,19.00,29.00,2022-06-15,NULL,Blocked,"Material Delay",,10.00,1.526,35,0,0
64,10004,1,2022-07-27,23.00,34.00,2022-06-15,NULL,"In Progress","Weather Impact",,11.00,1.478,42,0,0
65,10004,1,2022-08-03,26.00,36.00,2022-06-15,NULL,Blocked,"Approval Pending",,10.00,1.385,49,0,0
66,10004,1,2022-08-10,30.00,38.00,2022-06-15,NULL,"In Progress","Approval Pending",,8.00,1.267,56,0,0
67,10004,1,2022-08-17,34.00,45.00,2022-06-15,NULL,Blocked,"Approval Pending",,11.00,1.324,63,0,0
68,10004,1,2022-08-24,38.00,57.00,2022-06-15,NULL,"In Progress","Material Delay",,19.00,1.500,70,0,0
69,10004,1,2022-08-31,42.00,62.00,2022-06-15,NULL,Blocked,"Weather Impact",,20.00,1.476,77,0,0
70,10004,1,2022-09-07,46.00,72.00,2022-06-15,NULL,"In Progress","Material Delay",,26.00,1.565,84,0,0
71,10004,1,2022-09-14,50.00,80.00,2022-06-15,NULL,"In Progress","Material Delay",,30.00,1.600,91,0,0
72,10004,1,2022-09-21,53.00,81.00,2022-06-15,NULL,"In Progress",None,,28.00,1.528,98,0,0
73,10004,1,2022-09-28,57.00,89.00,2022-06-15,NULL,"In Progress","Material Delay",,32.00,1.561,105,0,0
74,10004,1,2022-10-05,61.00,100.00,2022-06-15,2022-10-05,Completed,"Approval Pending",,39.00,1.639,112,1,0
75,10004,1,2022-10-12,65.00,100.00,2022-06-15,2022-10-12,Completed,"Approval Pending",,35.00,1.538,119,1,0
76,10004,1,2022-10-19,69.00,100.00,2022-06-15,2022-10-19,Completed,"Approval Pending",,31.00,1.449,126,1,0
77,10004,1,2022-10-26,73.00,100.00,2022-06-15,2022-10-26,Completed,"Weather Impact",,27.00,1.370,133,1,0
78,10004,1,2022-11-02,76.00,100.00,2022-06-15,2022-11-02,Completed,None,,24.00,1.316,140,1,0
79,10004,1,2022-11-09,80.00,100.00,2022-06-15,2022-11-09,Completed,None,,20.00,1.250,147,1,0
80,10004,1,2022-11-16,84.00,100.00,2022-06-15,2022-11-16,Completed,"Labour Shortage",,16.00,1.190,154,1,0
81,10004,1,2022-11-23,88.00,100.00,2022-06-15,2022-11-23,Completed,"Weather Impact",,12.00,1.136,161,1,0
82,10004,1,2022-11-30,92.00,100.00,2022-06-15,2022-11-30,Completed,"Material Delay",,8.00,1.087,168,1,0
83,10004,1,2022-12-07,96.00,100.00,2022-06-15,2022-12-07,Completed,"Approval Pending",,4.00,1.042,175,1,0
84,10005,1,2023-09-14,0.00,8.00,2023-09-14,NULL,Blocked,"Weather Impact",,8.00,NULL,0,0,0
85,10005,1,2023-09-21,9.00,19.00,2023-09-14,NULL,Blocked,"Material Delay",,10.00,2.111,7,0,0
86,10005,1,2023-09-28,18.00,31.00,2023-09-14,NULL,Blocked,"Weather Impact",,13.00,1.722,14,0,0
87,10005,1,2023-10-05,27.00,41.00,2023-09-14,NULL,"In Progress","Approval Pending",,14.00,1.519,21,0,0
88,10005,1,2023-10-12,36.00,48.00,2023-09-14,NULL,"In Progress","Labour Shortage",,12.00,1.333,28,0,0
89,10005,1,2023-10-19,45.00,54.00,2023-09-14,NULL,"In Progress","Material Delay",,9.00,1.200,35,0,0
90,10005,1,2023-10-26,54.00,59.00,2023-09-14,NULL,Blocked,None,,5.00,1.093,42,0,0
91,10005,1,2023-11-02,63.00,62.00,2023-09-14,NULL,Blocked,"Approval Pending",,-1.00,0.984,49,0,1
92,10005,1,2023-11-09,72.00,66.00,2023-09-14,NULL,Blocked,"Labour Shortage",,-6.00,0.917,56,0,1
93,10005,1,2023-11-16,81.00,73.00,2023-09-14,NULL,"In Progress","Labour Shortage",,-8.00,0.901,63,0,1
94,10005,1,2023-11-23,90.00,85.00,2023-09-14,NULL,"In Progress","Approval Pending",,-5.00,0.944,70,0,1
95,10006,1,2023-07-14,0.00,5.00,2023-07-14,NULL,"In Progress","Weather Impact",,5.00,NULL,0,0,0
96,10006,1,2023-07-21,4.00,17.00,2023-07-14,NULL,Blocked,"Material Delay",,13.00,4.250,7,0,0
97,10006,1,2023-07-28,9.00,26.00,2023-07-14,NULL,"In Progress","Weather Impact",,17.00,2.889,14,0,0
98,10006,1,2023-08-04,13.00,30.00,2023-07-14,NULL,"In Progress",None,,17.00,2.308,21,0,0
99,10006,1,2023-08-11,18.00,34.00,2023-07-14,NULL,"In Progress",None,,16.00,1.889,28,0,0
100,10006,1,2023-08-18,22.00,35.00,2023-07-14,NULL,Blocked,"Weather Impact",,13.00,1.591,35,0,0
