project_id,task_id,task_name,task_category,critical_flag,actual_pct_complete,status_flag,delay_reason_code,risk_level
1,10046,"Underground Drainage",Plumbing,Y,100,Completed,"Weather Impact","Medium Risk"
1,10051,"Internal Plastering",Finishing,Y,87,"In Progress","Labour Shortage","Medium Risk"
1,10053,"Slab Shuttering and Pouring",Structural,Y,100,Completed,"Approval Pending","Medium Risk"
1,10055,"Column Casting",Structural,Y,100,Completed,None,"Medium Risk"
1,10058,"Floor Tiling",Finishing,Y,100,Completed,None,"Medium Risk"
1,10061,"Underground Drainage",Plumbing,Y,100,Completed,"Material Delay","Medium Risk"
1,10062,"Underground Drainage",Plumbing,Y,100,Completed,None,"Medium Risk"
1,10063,"Backfilling and Compaction",Civil,Y,100,Completed,"Material Delay","Medium Risk"
1,10064,"Backfilling and Compaction",Civil,Y,100,Completed,"Approval Pending","Medium Risk"
1,10065,"Floor Tiling",Finishing,Y,66,"In Progress","Material Delay","Medium Risk"
1,10069,"Underground Drainage",Plumbing,Y,95,"In Progress","Approval Pending","Medium Risk"
1,10071,"Floor Tiling",Finishing,Y,100,Completed,"Weather Impact","Medium Risk"
1,10072,"Internal Plastering",Finishing,Y,100,Completed,"Material Delay","Medium Risk"
1,10076,"Site Clearing and Grading",Civil,Y,66,"In Progress",None,"Medium Risk"
1,10081,"Internal Plastering",Finishing,Y,100,Completed,"Approval Pending","Medium Risk"
1,10084,"Column Casting",Structural,Y,88,Blocked,"Material Delay","Critical Risk"
1,10085,"Beam Reinforcement Installation",Structural,Y,100,Completed,"Material Delay","Medium Risk"
1,10086,"Painting and Polishing",Finishing,Y,100,Completed,"Weather Impact","Medium Risk"
1,10088,"Column Casting",Structural,Y,94,"In Progress",None,"Medium Risk"
1,10090,"Underground Drainage",Plumbing,Y,64,Blocked,"Labour Shortage","Critical Risk"
1,10091,"Internal Road Works",Civil,Y,67,Blocked,"Material Delay","Critical Risk"
1,10092,"Underground Drainage",Plumbing,Y,100,Completed,"Material Delay","Medium Risk"
1,10093,"Water Supply Line Installation",Plumbing,Y,84,"In Progress","Weather Impact","Medium Risk"
1,10098,"Underground Drainage",Plumbing,Y,66,Blocked,"Weather Impact","Critical Risk"
1,10100,"Cable Pulling",Electrical,Y,100,Completed,None,"Medium Risk"
1,10101,"Panel Installation",Electrical,Y,100,Completed,"Approval Pending","Medium Risk"
1,10105,"Internal Plastering",Finishing,Y,100,Completed,"Weather Impact","Medium Risk"
1,10107,"Painting and Polishing",Finishing,Y,100,Completed,"Material Delay","Medium Risk"
1,10108,"Underground Drainage",Plumbing,Y,100,Completed,None,"Medium Risk"
1,10109,"Conduit Laying",Electrical,Y,94,"In Progress","Labour Shortage","Medium Risk"
1,10111,"Beam Reinforcement Installation",Structural,Y,100,Completed,"Material Delay","Medium Risk"
1,10114,"Internal Road Works",Civil,Y,100,Completed,"Material Delay","Medium Risk"
1,10121,"Internal Plastering",Finishing,Y,100,Completed,"Weather Impact","Medium Risk"
1,10123,"Slab Shuttering and Pouring",Structural,Y,100,Completed,"Material Delay","Medium Risk"
1,10124,"Floor Tiling",Finishing,Y,100,Completed,None,"Medium Risk"
1,10125,"Panel Installation",Electrical,Y,100,Completed,None,"Medium Risk"
1,10127,"Backfilling and Compaction",Civil,Y,100,Completed,None,"Medium Risk"
1,10128,"Panel Installation",Electrical,Y,93,Blocked,"Labour Shortage","Critical Risk"
1,10131,"Footing Reinforcement Fixing",Structural,Y,100,Completed,None,"Medium Risk"
1,10133,"Internal Plastering",Finishing,Y,100,Completed,"Material Delay","Medium Risk"
1,10136,"Backfilling and Compaction",Civil,Y,89,"In Progress","Weather Impact","Medium Risk"
1,10137,"Internal Plastering",Finishing,Y,69,"In Progress","Weather Impact","Medium Risk"
1,10140,"Slab Shuttering and Pouring",Structural,Y,100,Completed,"Approval Pending","Medium Risk"
1,10141,"Site Clearing and Grading",Civil,Y,100,Completed,"Approval Pending","Medium Risk"
1,10142,"Site Clearing and Grading",Civil,Y,100,Completed,"Approval Pending","Medium Risk"
1,10143,"Floor Tiling",Finishing,Y,100,Completed,"Approval Pending","Medium Risk"
1,10144,"Site Clearing and Grading",Civil,Y,100,Completed,"Approval Pending","Medium Risk"
1,10147,"Panel Installation",Electrical,Y,100,Completed,"Labour Shortage","Medium Risk"
1,10149,"Underground Drainage",Plumbing,Y,100,Completed,"Weather Impact","Medium Risk"
1,10151,"Floor Tiling",Finishing,Y,100,Completed,"Weather Impact","Medium Risk"
1,10152,"Footing Reinforcement Fixing",Structural,Y,100,Completed,"Approval Pending","Medium Risk"
1,10153,"Cable Pulling",Electrical,Y,100,Completed,"Approval Pending","Medium Risk"
1,10154,"Backfilling and Compaction",Civil,Y,100,Completed,"Approval Pending","Medium Risk"
1,10155,"Beam Reinforcement Installation",Structural,Y,71,Blocked,"Labour Shortage","Critical Risk"
1,10159,"Slab Shuttering and Pouring",Structural,Y,100,Completed,"Labour Shortage","Medium Risk"
1,10160,"Underground Drainage",Plumbing,Y,85,"In Progress","Material Delay","Medium Risk"
1,10167,"Internal Road Works",Civil,Y,48,Blocked,"Approval Pending","Critical Risk"
1,10168,"Slab Shuttering and Pouring",Structural,Y,100,Completed,"Weather Impact","Medium Risk"
1,10169,"Panel Installation",Electrical,Y,100,Completed,"Weather Impact","Medium Risk"
1,10172,"Conduit Laying",Electrical,Y,100,Completed,"Weather Impact","Medium Risk"
1,10173,"Water Supply Line Installation",Plumbing,Y,100,Completed,"Material Delay","Medium Risk"
1,10175,"Panel Installation",Electrical,Y,100,Completed,"Material Delay","Medium Risk"
1,10177,"Slab Shuttering and Pouring",Structural,Y,100,Completed,"Labour Shortage","Medium Risk"
1,10179,"Slab Shuttering and Pouring",Structural,Y,100,Completed,"Approval Pending","Medium Risk"
1,10180,"Cable Pulling",Electrical,Y,64,Blocked,"Material Delay","Critical Risk"
1,10181,"Water Supply Line Installation",Plumbing,Y,100,Completed,"Labour Shortage","Medium Risk"
1,10182,"Internal Plastering",Finishing,Y,100,Completed,"Labour Shortage","Medium Risk"
1,10183,"Internal Road Works",Civil,Y,50,Blocked,"Material Delay","Critical Risk"
1,10184,"Beam Reinforcement Installation",Structural,Y,100,Completed,"Material Delay","Medium Risk"
1,10187,"Excavation for Foundations",Civil,Y,100,Completed,"Material Delay","Medium Risk"
1,10188,"Conduit Laying",Electrical,Y,83,Blocked,"Approval Pending","Critical Risk"
1,10190,"Underground Drainage",Plumbing,Y,100,Completed,"Material Delay","Medium Risk"
1,10194,"Internal Plastering",Finishing,Y,100,Completed,"Weather Impact","Medium Risk"
