issue_id,project_id,task_id,issue_type,severity,reported_date,resolved_date,approval_delay_days,issue_status
39,2,10247,Safety,Low,2023-02-14,,20,Open
40,20,14135,Safety,High,2022-10-17,,12,Closed
41,18,13577,NCR,Low,2023-08-12,,19,Open
42,1,10055,NCR,High,2022-12-17,,3,Open
43,23,14609,Safety,Low,2023-05-10,,13,Open
44,5,11052,NCR,Medium,2022-09-23,,18,Closed
45,22,14399,Safety,Low,2023-03-28,,17,Closed
46,20,14104,Safety,High,2024-08-26,,18,Closed
47,27,15503,NCR,High,2023-05-12,,23,Closed
48,20,14131,RFI,Medium,2024-05-12,,23,Closed
49,6,11119,NCR,Medium,2022-09-02,,20,Open
50,21,14304,Safety,Medium,2023-05-28,,9,Closed
51,14,12747,RFI,Low,2024-02-15,,5,Open
52,12,12523,Safety,High,2022-12-02,,7,Open
53,23,14585,Safety,High,2023-01-03,,19,Open
54,20,14009,RFI,Medium,2024-03-19,,4,Open
55,4,10666,NCR,Medium,2023-01-06,,18,Open
56,16,13216,Safety,Medium,2023-02-01,,22,Closed
57,20,13982,NCR,Low,2024-07-30,,21,Closed
58,15,13088,NCR,Medium,2023-11-17,,21,Open
59,22,14485,NCR,Medium,2023-03-10,,19,Closed
60,19,13864,RFI,Medium,2022-05-11,,5,Open
61,1,10118,NCR,High,2022-12-28,,2,Closed
62,20,14168,RFI,High,2023-05-24,,23,Open
63,9,11837,Safety,Medium,2023-02-24,,24,Closed
64,8,11641,RFI,Medium,2023-11-28,,7,Open
65,24,14966,RFI,Medium,2023-12-27,,1,Closed
66,7,11375,NCR,High,2022-12-26,,22,Open
67,26,15322,Safety,Low,2022-08-02,,19,Open
68,4,10832,NCR,Medium,2023-08-26,,9,Closed
69,6,11196,RFI,High,2022-07-29,,18,Closed
70,16,13139,Safety,High,2022-11-12,,14,Open
71,20,14063,RFI,High,2024-07-03,,15,Closed
72,18,13635,RFI,Medium,2022-08-06,,5,Closed
73,6,11158,RFI,Medium,2023-06-12,,16,Open
74,1,10162,NCR,High,2023-09-06,,20,Closed
75,22,14550,Safety,Low,2022-11-13,,6,Open
76,24,14865,Safety,High,2023-04-14,,9,Open
77,17,13357,RFI,Medium,2022-05-28,,8,Open
78,3,10471,NCR,Low,2023-04-05,,14,Closed
79,9,11764,Safety,High,2023-05-04,,19,Open
80,15,12944,RFI,Low,2023-10-12,,7,Open
81,23,14597,Safety,Low,2023-07-19,,8,Closed
82,28,15713,NCR,Medium,2023-08-23,,19,Closed
83,21,14333,Safety,Medium,2023-05-25,,22,Closed
84,20,14105,Safety,Medium,2022-11-04,,22,Closed
85,26,15370,RFI,High,2022-01-17,,24,Open
86,6,11219,Safety,Low,2023-02-09,,18,Closed
87,13,12585,NCR,Low,2022-06-30,,10,Closed
88,25,15141,Safety,Medium,2023-11-01,,16,Closed
89,24,14765,Safety,High,2024-01-16,,22,Closed
90,28,15622,NCR,Medium,2023-06-03,,2,Closed
91,20,13972,NCR,Low,2024-01-15,,6,Closed
92,13,12671,RFI,Medium,2023-02-06,,16,Open
93,23,14670,Safety,Medium,2022-09-16,,23,Closed
94,23,14638,Safety,Medium,2022-12-17,,17,Open
95,3,10532,RFI,Medium,2023-12-22,,15,Closed
96,6,11217,RFI,High,2023-03-29,,22,Open
97,22,14520,RFI,High,2022-09-01,,12,Open
98,27,15538,RFI,Low,2022-10-22,,7,Open
99,22,14474,NCR,High,2022-12-09,,19,Closed
100,12,12526,NCR,High,2024-05-08,,10,Closed
101,24,14763,Safety,High,2022-05-10,,6,Open
102,15,13107,RFI,High,2023-12-11,,19,Closed
103,20,14101,RFI,High,2023-01-17,,20,Open
104,4,10748,Safety,Low,2022-11-22,,17,Open
105,21,14330,RFI,Medium,2022-07-23,,11,Open
106,1,10211,NCR,Medium,2024-03-17,,9,Open
107,2,10276,NCR,Medium,2023-03-21,,7,Closed
108,18,13578,NCR,High,2023-09-18,,10,Open
109,8,11646,NCR,Low,2023-09-24,,4,Open
110,11,12254,Safety,Medium,2023-12-09,,21,Open
111,7,11429,RFI,Medium,2024-02-21,,14,Open
112,15,13086,RFI,High,2022-12-12,,0,Closed
113,17,13492,NCR,Medium,2022-06-02,,17,Closed
114,7,11410,RFI,Medium,2023-01-15,,17,Closed
115,18,13531,Safety,Medium,2024-04-28,,2,Open
116,24,14962,Safety,High,2023-09-30,,24,Open
117,5,11032,RFI,High,2023-03-05,,16,Open
118,5,10957,RFI,Low,2023-11-15,,1,Open
119,24,14975,NCR,Low,2023-06-02,,0,Open
120,24,14798,Safety,Low,2023-10-13,,21,Open
121,10,12005,NCR,Low,2022-07-30,,24,Open
122,20,13998,RFI,High,2024-06-19,,17,Open
123,17,13469,Safety,High,2022-04-05,,16,Closed
124,12,12371,NCR,Medium,2022-04-23,,25,Closed
125,25,15087,RFI,High,2023-11-02,,13,Closed
126,17,13347,NCR,Low,2023-04-03,,0,Open
127,1,10116,NCR,Medium,2022-06-18,,15,Closed
128,18,13728,NCR,High,2023-03-01,,23,Open
129,19,13812,NCR,Medium,2023-11-20,,3,Open
130,14,12920,Safety,High,2023-10-19,,14,Closed
131,24,14898,NCR,Low,2023-01-18,,8,Open
132,6,11209,Safety,High,2023-11-28,,19,Open
133,10,12115,Safety,High,2023-01-27,,19,Closed
134,24,14832,Safety,Medium,2023-10-28,,11,Open
135,9,11855,Safety,High,2024-01-12,,15,Open
136,7,11451,Safety,High,2022-08-29,,24,Closed
137,25,15016,Safety,Low,2023-06-24,,12,Closed
138,16,13126,RFI,High,2023-02-08,,2,Open
139,5,10922,RFI,High,2023-08-19,,2,Open
140,15,13019,NCR,Low,2022-08-20,,4,Closed
141,19,13822,NCR,High,2022-08-20,,15,Open
142,4,10707,RFI,Low,2022-11-06,,9,Open
143,16,13210,Safety,Medium,2022-12-14,,10,Open
144,20,14073,Safety,Medium,2022-12-25,,17,Open
145,12,12347,NCR,Low,2022-11-30,,23,Open
146,6,11261,Safety,Low,2023-03-17,,22,Closed
147,11,12311,Safety,Low,2023-12-21,,13,Open
148,11,12235,NCR,Medium,2022-12-16,,11,Closed
149,13,12729,Safety,Medium,2022-10-12,,7,Open
150,4,10831,NCR,High,2023-05-03,,18,Closed
151,6,11292,Safety,Low,2023-09-03,,0,Closed
152,22,14438,Safety,High,2023-05-10,,21,Open
153,24,14817,Safety,High,2022-08-14,,1,Closed
154,19,13789,RFI,Medium,2022-11-14,,0,Open
155,23,14611,NCR,Medium,2024-01-02,,4,Open
156,24,14974,NCR,High,2024-02-10,,5,Closed
157,16,13303,NCR,High,2023-07-06,,11,Open
158,17,13417,NCR,High,2023-03-17,,22,Open
159,4,10699,NCR,Medium,2023-03-16,,12,Closed
160,24,14964,Safety,Low,2024-01-01,,1,Closed
161,26,15222,NCR,High,2023-09-30,,11,Open
162,22,14508,Safety,Low,2022-03-23,,1,Closed
163,11,12133,Safety,High,2023-02-18,,7,Closed
164,23,14693,Safety,Low,2023-07-10,,2,Closed
165,23,14699,RFI,High,2022-09-08,,0,Closed
166,6,11131,Safety,Low,2023-08-12,,12,Open
167,6,11269,NCR,Medium,2022-08-05,,19,Open
168,28,15730,NCR,Medium,2023-12-08,,8,Closed
169,4,10758,NCR,Low,2023-10-17,,8,Open
170,18,13703,Safety,Low,2024-04-10,,14,Closed
171,18,13666,Safety,Low,2023-01-01,,2,Open
172,4,10652,NCR,Medium,2023-04-02,,9,Closed
173,21,14192,NCR,Low,2023-06-24,,11,Closed
174,14,12839,NCR,High,2023-04-30,,1,Open
175,13,12624,Safety,High,2022-06-18,,11,Closed
176,11,12125,Safety,High,2022-05-29,,20,Open
177,11,12306,NCR,High,2023-04-18,,17,Open
178,18,13645,NCR,High,2022-11-23,,0,Closed
179,19,13784,Safety,Medium,2023-01-01,,22,Open
180,17,13446,Safety,Low,2022-12-22,,4,Closed
181,2,10403,Safety,Low,2022-09-15,,21,Open
182,15,13028,RFI,Medium,2023-06-27,,12,Open
183,1,10084,Safety,Low,2023-03-13,,12,Open
184,3,10420,NCR,Low,2023-06-16,,11,Open
185,1,10180,RFI,Medium,2023-12-25,,4,Open
186,8,11687,RFI,Low,2023-06-03,,0,Closed
187,12,12421,Safety,Medium,2023-03-25,,11,Open
188,15,13017,NCR,High,2023-09-12,,10,Open
189,24,14939,NCR,High,2023-11-27,,25,Closed
190,3,10434,RFI,Medium,2024-05-23,,1,Open
191,13,12668,NCR,Low,2023-01-30,,22,Closed
192,9,11750,NCR,Low,2024-02-06,,4,Open
193,23,14712,RFI,Medium,2023-07-24,,25,Closed
194,5,10982,NCR,Low,2023-02-23,,13,Closed
195,6,11077,RFI,Medium,2023-02-18,,10,Closed
196,4,10801,NCR,Low,2023-01-25,,25,Closed
197,17,13424,Safety,Medium,2022-05-08,,11,Closed
198,12,12396,NCR,Medium,2023-07-30,,22,Open
199,8,11494,RFI,High,2024-02-17,,6,Closed
200,3,10641,RFI,High,2023-04-28,,21,Closed
201,23,14671,RFI,High,2023-02-10,,18,Open
202,13,12601,Safety,Medium,2023-10-12,,10,Closed
203,15,13042,Safety,High,2022-04-02,,23,Closed
204,8,11685,Safety,High,2022-11-02,,1,Open
205,22,14475,RFI,Medium,2022-07-22,,2,Closed
206,15,12941,RFI,High,2022-11-15,,17,Open
207,11,12322,NCR,Low,2023-01-06,,13,Closed
208,22,14484,Safety,High,2023-02-26,,25,Closed
209,17,13385,RFI,Medium,2023-03-30,,21,Open
210,24,14839,NCR,Medium,2022-12-19,,4,Closed
211,7,11376,RFI,Medium,2023-07-30,,19,Open
212,12,12498,RFI,Medium,2023-04-01,,0,Open
213,5,10963,Safety,High,2022-06-12,,7,Closed
214,26,15225,RFI,Low,2024-03-03,,17,Closed
215,18,13603,Safety,Low,2023-11-25,,15,Open
216,11,12248,RFI,Low,2022-08-11,,4,Open
217,2,10346,Safety,Medium,2023-09-19,,8,Open
218,5,10969,NCR,High,2023-08-05,,17,Closed
219,11,12297,Safety,Low,2023-08-23,,2,Open
220,8,11507,RFI,Low,2023-12-01,,5,Closed
221,5,10972,NCR,High,2022-11-28,,3,Open
222,18,13711,Safety,Medium,2024-04-18,,9,Closed
223,18,13669,NCR,High,2023-01-28,,13,Closed
224,4,10738,Safety,Low,2023-05-22,,23,Closed
225,25,14985,Safety,Medium,2022-09-13,,15,Open
226,22,14479,NCR,Medium,2023-01-05,,4,Open
227,18,13547,NCR,Medium,2024-01-17,,6,Open
228,24,14787,NCR,Medium,2022-11-01,,8,Closed
229,9,11773,Safety,High,2023-07-18,,2,Open
230,2,10319,Safety,Medium,2023-06-17,,6,Closed
231,17,13500,NCR,Low,2022-03-06,,23,Closed
232,3,10501,NCR,Medium,2022-07-01,,15,Closed
233,20,14102,NCR,High,2024-04-02,,6,Open
234,19,13835,RFI,Low,2023-10-30,,11,Open
235,25,15018,Safety,High,2023-05-13,,7,Closed
236,18,13641,NCR,Medium,2024-03-07,,11,Open
237,6,11137,RFI,Medium,2023-07-10,,9,Open
238,28,15714,NCR,High,2024-03-29,,17,Closed
239,15,13026,RFI,Low,2022-05-06,,1,Open
240,24,14783,Safety,High,2023-10-02,,8,Closed
241,13,12541,RFI,Medium,2023-08-03,,5,Closed
242,21,14189,Safety,Low,2023-03-02,,17,Open
243,20,14025,NCR,High,2022-12-15,,4,Closed
244,19,13930,RFI,Low,2023-02-07,,21,Closed
245,5,10913,Safety,Medium,2023-03-19,,19,Closed
246,6,11167,NCR,Medium,2024-03-28,,19,Closed
247,27,15460,RFI,Medium,2023-06-23,,6,Open
248,1,10150,Safety,Low,2022-07-18,,16,Closed
249,16,13321,NCR,Medium,2023-04-18,,12,Open
250,22,14542,RFI,Low,2023-02-13,,2,Closed
251,24,14766,NCR,Medium,2023-02-13,,0,Closed
252,11,12191,NCR,Low,2023-01-24,,25,Open
253,5,11060,Safety,High,2022-10-02,,9,Closed
254,19,13900,NCR,Low,2022-05-21,,24,Open
255,11,12307,Safety,Low,2022-12-25,,23,Open
256,20,14037,RFI,Low,2024-05-10,,15,Open
257,14,12934,RFI,High,2024-07-16,,13,Closed
258,12,12467,Safety,Low,2023-03-18,,23,Closed
259,18,13680,NCR,High,2023-04-12,,19,Closed
260,9,11730,NCR,Low,2024-04-08,,21,Closed
261,24,14969,RFI,Medium,2022-10-22,,11,Open
262,14,12921,NCR,Low,2023-07-20,,13,Open
263,10,11998,RFI,Medium,2023-03-09,,19,Open
264,21,14339,NCR,High,2023-03-22,,25,Closed
265,27,15483,RFI,High,2023-07-31,,12,Closed
266,26,15284,NCR,High,2022-07-28,,24,Open
267,15,13039,Safety,Medium,2022-11-07,,16,Open
268,21,14361,RFI,Medium,2022-03-29,,17,Closed
269,12,12420,RFI,Medium,2023-09-27,,19,Open
270,9,11731,RFI,High,2023-06-05,,5,Open
271,19,13783,NCR,High,2022-06-12,,13,Open
272,26,15239,NCR,Medium,2023-11-14,,8,Closed
273,1,10146,RFI,Medium,2024-04-13,,22,Open
274,19,13895,NCR,Medium,2022-11-11,,23,Open
275,26,15307,Safety,Low,2023-04-29,,14,Open
276,23,14625,NCR,Medium,2023-06-28,,19,Open
277,2,10306,NCR,High,2022-11-05,,16,Open
278,15,13097,RFI,High,2023-05-17,,9,Open
279,8,11638,Safety,Medium,2022-07-19,,4,Closed
280,4,10853,Safety,Low,2023-12-28,,3,Closed
281,13,12562,NCR,Medium,2023-08-07,,17,Closed
282,15,12963,NCR,Low,2023-02-05,,11,Open
283,28,15588,NCR,Medium,2024-01-26,,19,Closed
284,1,10009,NCR,High,2023-08-23,,9,Closed
285,16,13274,Safety,Medium,2023-05-29,,7,Closed
286,12,12387,Safety,High,2022-12-17,,11,Closed
287,12,12524,Safety,Medium,2022-08-20,,9,Open
288,3,10433,RFI,High,2023-04-05,,18,Open
289,10,12092,RFI,Medium,2023-08-31,,16,Closed
290,11,12266,RFI,Medium,2023-03-29,,12,Closed
291,6,11182,RFI,Medium,2023-03-18,,24,Closed
292,8,11585,RFI,High,2022-09-08,,13,Closed
293,14,12802,Safety,Medium,2023-11-27,,17,Open
294,3,10408,NCR,Low,2024-03-01,,22,Closed
295,11,12143,Safety,Low,2022-08-19,,17,Open
296,24,14849,Safety,Medium,2022-09-22,,12,Closed
297,9,11788,NCR,High,2024-03-21,,18,Closed
298,18,13610,RFI,Low,2022-09-30,,1,Closed
299,14,12818,Safety,Medium,2023-08-04,,15,Open
300,16,13236,Safety,Medium,2022-08-15,,24,Closed
301,24,14836,NCR,High,2023-02-09,,19,Open
302,3,10617,Safety,High,2023-08-18,,1,Open
303,5,10988,RFI,High,2023-08-23,,11,Open
304,4,10717,Safety,Low,2023-03-17,,10,Open
305,26,15250,RFI,High,2023-08-29,,10,Closed
306,27,15529,RFI,Low,2022-09-16,,16,Open
307,22,14422,Safety,Medium,2022-10-09,,6,Closed
308,14,12912,RFI,Low,2024-05-02,,2,Closed
309,24,14822,NCR,Low,2022-05-02,,14,Closed
310,5,11016,Safety,Low,2022-10-20,,11,Open
311,2,10326,Safety,Medium,2023-09-01,,0,Closed
312,26,15233,NCR,High,2023-04-17,,18,Open
313,8,11707,Safety,Medium,2023-05-16,,10,Closed
314,22,14388,Safety,Low,2022-04-18,,6,Open
315,21,14375,Safety,Medium,2022-08-03,,1,Open
316,6,11170,RFI,Medium,2022-06-15,,4,Open
317,20,14022,RFI,Medium,2023-12-30,,4,Open
318,18,13706,NCR,Low,2023-02-08,,22,Closed
319,11,12312,RFI,High,2023-08-24,,21,Open
320,15,13078,RFI,High,2023-02-03,,11,Closed
321,4,10869,NCR,Medium,2022-08-26,,15,Open
322,7,11408,Safety,Low,2024-02-13,,12,Open
323,17,13374,Safety,Low,2023-01-25,,4,Open
324,3,10583,NCR,Medium,2022-08-11,,25,Open
325,21,14220,RFI,Medium,2022-11-18,,8,Open
326,13,12535,NCR,Medium,2022-09-02,,17,Closed
327,21,14210,RFI,Low,2022-11-04,,8,Open
328,21,14351,Safety,Low,2022-10-27,,17,Open
329,7,11424,RFI,High,2023-08-19,,4,Closed
330,1,10102,Safety,Medium,2022-08-06,,22,Closed
331,4,10774,NCR,Low,2023-10-27,,11,Open
332,7,11355,RFI,Medium,2023-05-10,,19,Closed
333,8,11599,Safety,Low,2022-12-24,,12,Open
334,18,13516,Safety,High,2024-01-26,,2,Closed
335,14,12791,Safety,Medium,2023-06-07,,10,Closed
336,19,13743,RFI,High,2022-05-15,,10,Open
337,3,10447,RFI,High,2022-12-19,,12,Closed
338,24,14758,NCR,High,2022-04-13,,0,Open
339,1,10074,RFI,High,2022-09-28,,14,Open
340,17,13477,RFI,Low,2022-10-03,,17,Closed
341,14,12905,Safety,High,2023-12-23,,17,Open
342,16,13162,Safety,High,2022-11-25,,11,Open
343,20,14092,RFI,High,2024-04-06,,0,Open
344,4,10719,RFI,Medium,2023-02-20,,4,Open
345,21,14371,Safety,Low,2022-08-21,,20,Open
346,7,11314,Safety,Medium,2022-10-26,,18,Open
347,22,14376,NCR,Low,2022-08-27,,13,Closed
348,17,13344,Safety,High,2022-03-23,,13,Closed
349,17,13466,NCR,High,2023-02-16,,18,Closed
350,10,12030,RFI,Medium,2022-08-27,,5,Closed
351,11,12282,NCR,High,2022-05-29,,14,Closed
352,22,14547,RFI,Medium,2023-06-14,,10,Closed
353,15,12993,RFI,Medium,2023-11-02,,7,Closed
354,6,11194,RFI,High,2024-04-15,,18,Open
355,26,15376,NCR,Low,2022-09-25,,17,Open
356,16,13208,Safety,Low,2023-03-18,,17,Closed
357,16,13219,RFI,High,2023-07-23,,22,Open
358,1,10081,RFI,Medium,2023-01-05,,6,Open
359,13,12653,NCR,Medium,2022-09-09,,12,Closed
360,24,14936,RFI,Medium,2023-08-06,,4,Closed
361,10,11956,Safety,Low,2022-07-27,,7,Closed
362,20,14091,RFI,Low,2023-01-02,,25,Closed
363,9,11848,Safety,Medium,2024-02-12,,19,Open
364,8,11537,RFI,High,2024-01-25,,20,Open
365,14,12797,Safety,Medium,2022-12-13,,14,Open
366,1,10122,RFI,Low,2023-05-20,,6,Closed
367,5,10894,NCR,High,2023-11-28,,14,Closed
368,18,13618,NCR,Low,2023-02-22,,24,Closed
369,4,10757,Safety,Medium,2022-07-25,,2,Closed
370,12,12517,NCR,Medium,2022-09-20,,19,Closed
371,9,11832,Safety,High,2022-11-08,,0,Closed
372,18,13580,RFI,High,2022-05-31,,24,Closed
373,17,13481,RFI,High,2022-06-03,,21,Open
374,20,13978,NCR,High,2023-12-20,,5,Closed
375,9,11779,NCR,Low,2022-05-27,,14,Open
376,12,12408,NCR,Low,2023-02-10,,16,Closed
377,27,15469,RFI,High,2023-06-13,,22,Open
378,16,13314,Safety,High,2022-07-04,,19,Open
379,23,14745,NCR,Low,2023-02-13,,11,Open
380,24,14841,NCR,High,2023-02-10,,8,Open
381,6,11096,Safety,Medium,2023-07-05,,8,Closed
382,17,13412,Safety,Medium,2022-02-24,,15,Open
383,28,15669,NCR,Low,2022-11-23,,13,Open
384,12,12511,Safety,High,2023-12-18,,20,Open
385,13,12634,RFI,Medium,2022-10-16,,7,Closed
386,4,10798,Safety,Low,2023-01-15,,1,Closed
387,28,15721,Safety,High,2023-01-30,,13,Closed
388,19,13826,NCR,Low,2023-01-23,,14,Closed
389,14,12917,Safety,Medium,2023-03-15,,18,Closed
390,8,11697,Safety,Medium,2024-02-02,,15,Open
391,11,12268,NCR,Low,2024-02-12,,17,Open
392,6,11078,RFI,High,2022-08-21,,11,Closed
393,26,15388,NCR,Low,2023-10-29,,23,Open
394,26,15316,RFI,Low,2022-02-01,,23,Open
395,21,14204,NCR,Low,2022-03-11,,12,Closed
396,25,14995,NCR,Medium,2023-06-07,,3,Closed
397,28,15644,Safety,Low,2024-01-22,,18,Open
398,4,10664,Safety,Low,2023-03-05,,9,Open
399,27,15509,Safety,Low,2023-07-27,,22,Closed
400,19,13800,Safety,High,2022-08-27,,0,Open
401,21,14187,NCR,Low,2022-04-10,,25,Open
402,24,14901,Safety,Low,2024-03-24,,4,Open
403,21,14264,Safety,Medium,2022-06-23,,24,Open
404,28,15663,NCR,Low,2023-06-16,,8,Closed
405,22,14527,RFI,Medium,2023-01-26,,18,Open
406,6,11223,NCR,Medium,2023-02-21,,7,Closed
407,14,12856,NCR,Medium,2024-04-08,,19,Open
408,25,15124,RFI,Low,2023-05-23,,22,Closed
409,2,10222,NCR,Low,2022-07-16,,1,Open
410,3,10626,RFI,High,2023-04-27,,22,Closed
411,3,10604,NCR,Low,2022-12-09,,19,Closed
412,24,14954,RFI,High,2023-07-30,,1,Closed
413,26,15373,RFI,High,2023-06-10,,23,Open
414,26,15390,NCR,Medium,2022-05-03,,0,Open
415,17,13463,RFI,Low,2022-03-21,,1,Open
416,16,13279,Safety,Low,2022-10-07,,5,Open
417,1,10188,RFI,Medium,2023-09-16,,19,Closed
418,8,11703,Safety,High,2023-03-21,,23,Open
419,26,15402,NCR,High,2022-12-12,,0,Open
420,16,13169,Safety,Low,2022-11-11,,8,Open
421,27,15570,NCR,Low,2022-07-14,,17,Closed
422,21,14289,NCR,Medium,2022-12-07,,7,Closed
423,5,10961,NCR,High,2022-06-09,,17,Open
424,5,10906,Safety,Medium,2022-08-28,,25,Open
425,20,14038,RFI,Medium,2023-05-05,,0,Closed
426,16,13284,NCR,High,2023-02-13,,22,Closed
427,25,15101,NCR,Low,2023-12-11,,6,Closed
428,1,10101,RFI,Low,2022-10-30,,9,Open
429,18,13723,RFI,Low,2024-06-25,,22,Closed
430,14,12787,RFI,Low,2023-06-27,,4,Open
431,17,13402,Safety,Low,2023-01-31,,25,Closed
432,24,14768,NCR,High,2023-08-24,,16,Open
433,27,15490,Safety,Low,2023-05-20,,16,Open
434,4,10677,Safety,Low,2023-02-26,,3,Open
435,5,10935,Safety,High,2022-12-02,,11,Open
436,1,10068,Safety,Low,2023-08-29,,20,Closed
437,23,14735,NCR,Medium,2024-01-14,,15,Closed
438,13,12639,RFI,Medium,2023-06-25,,9,Open
439,11,12164,RFI,Medium,2023-08-29,,14,Open
440,10,11954,NCR,High,2022-08-11,,5,Open
441,2,10360,RFI,Low,2023-12-06,,13,Closed
442,25,15015,RFI,Medium,2022-08-04,,19,Open
443,8,11705,NCR,Medium,2023-09-18,,11,Open
444,5,10933,RFI,Medium,2023-02-23,,4,Open
445,27,15444,RFI,Medium,2022-10-28,,24,Open
446,25,15190,RFI,High,2023-02-25,,14,Closed
447,21,14328,Safety,High,2022-05-05,,12,Open
448,5,11059,Safety,High,2023-05-18,,8,Open
449,28,15660,NCR,Medium,2024-06-16,,9,Open
450,14,12899,NCR,High,2024-08-28,,22,Closed
451,21,14207,NCR,Medium,2022-05-27,,4,Closed
452,6,11180,NCR,High,2023-02-24,,10,Open
453,8,11691,Safety,Low,2023-02-07,,15,Closed
454,15,12951,Safety,Low,2023-06-05,,24,Closed
455,27,15566,Safety,High,2022-10-09,,6,Open
456,10,11991,NCR,Medium,2023-06-17,,2,Closed
457,7,11422,NCR,Medium,2023-05-25,,14,Open
458,12,12450,Safety,High,2023-09-15,,17,Closed
459,6,11210,RFI,Medium,2024-02-10,,4,Closed
460,17,13340,RFI,Medium,2022-05-06,,0,Closed
461,26,15228,RFI,Medium,2024-02-13,,22,Open
462,3,10474,RFI,High,2022-12-05,,13,Open
463,2,10232,RFI,Low,2023-03-27,,17,Open
464,23,14584,NCR,Medium,2023-01-13,,21,Closed
465,25,15142,NCR,High,2023-03-04,,1,Open
466,18,13514,NCR,Medium,2023-03-25,,22,Closed
467,20,13968,NCR,Low,2022-08-27,,22,Closed
468,8,11681,NCR,Low,2023-02-05,,18,Closed
469,20,13979,NCR,Medium,2024-05-09,,18,Closed
470,10,12095,Safety,Low,2023-06-05,,2,Open
471,10,11963,RFI,Low,2022-08-06,,10,Open
472,3,10597,RFI,Low,2024-05-09,,6,Closed
473,25,15123,RFI,High,2023-10-18,,7,Open
474,28,15726,Safety,Low,2023-12-02,,2,Open
475,14,12769,Safety,High,2023-10-11,,13,Closed
476,20,14140,RFI,High,2023-12-08,,25,Open
477,4,10736,Safety,Low,2022-12-14,,8,Closed
478,18,13612,NCR,Low,2022-06-20,,19,Open
479,14,12840,RFI,Medium,2023-07-03,,9,Open
480,18,13713,NCR,High,2023-10-06,,17,Open
481,24,14950,NCR,Medium,2022-05-21,,21,Open
482,1,10079,NCR,High,2024-01-12,,8,Open
483,24,14951,RFI,Medium,2023-08-28,,18,Closed
484,27,15475,RFI,Low,2022-06-15,,6,Open
485,6,11105,Safety,Medium,2023-04-04,,14,Open
486,9,11838,Safety,Medium,2023-09-28,,17,Closed
487,16,13160,Safety,Low,2023-03-14,,6,Closed
488,10,11966,Safety,Low,2024-01-01,,11,Open
489,18,13690,NCR,Medium,2024-04-30,,11,Open
490,13,12689,RFI,Medium,2022-07-27,,1,Closed
491,10,11950,Safety,Medium,2022-08-20,,12,Open
492,25,15180,RFI,High,2023-11-14,,24,Open
493,21,14314,RFI,High,2022-02-02,,20,Closed
494,14,12907,RFI,Low,2023-12-10,,15,Closed
495,6,11173,RFI,Medium,2024-02-28,,9,Closed
496,14,12832,Safety,Low,2023-01-20,,12,Closed
497,7,11407,RFI,High,2022-11-20,,1,Open
498,10,11936,NCR,High,2022-08-28,,19,Closed
499,17,13396,Safety,Medium,2022-12-08,,15,Closed
500,20,14066,Safety,Medium,2024-02-01,,4,Closed
501,10,12104,NCR,Medium,2023-04-03,,2,Open
502,21,14206,NCR,High,2022-12-20,,2,Closed
503,25,15189,NCR,Medium,2023-07-31,,14,Open
504,7,11392,NCR,High,2023-02-07,,0,Open
505,1,10136,NCR,Medium,2024-01-23,,17,Closed
