weather_id,project_id,date,rainfall_mm,temperature_c,weather_severity,work_stop_flag
136,1,2022-08-25,95,38,Normal,N
137,1,2022-08-26,33,29,Normal,N
138,1,2022-08-27,133,27,Moderate,N
139,1,2022-08-28,108,36,Normal,N
140,1,2022-08-29,115,33,Moderate,N
141,1,2022-08-30,5,27,Moderate,N
142,1,2022-08-31,86,41,Normal,N
143,1,2022-09-01,1,28,Moderate,N
144,1,2022-09-02,55,24,Moderate,N
145,1,2022-09-03,138,40,Moderate,N
146,1,2022-09-04,55,32,Normal,N
147,1,2022-09-05,59,31,Normal,N
148,1,2022-09-06,95,42,Moderate,N
149,1,2022-09-07,41,40,Moderate,N
150,1,2022-09-08,112,39,Normal,N
151,1,2022-09-09,134,30,Moderate,N
152,1,2022-09-10,34,42,Moderate,N
153,1,2022-09-11,65,31,Normal,N
154,1,2022-09-12,19,29,Normal,N
155,1,2022-09-13,54,30,Normal,N
156,1,2022-09-14,105,37,Severe,Y
157,1,2022-09-15,37,35,Normal,N
158,1,2022-09-16,79,32,Normal,N
159,1,2022-09-17,23,27,Moderate,N
160,1,2022-09-18,60,25,Normal,N
161,1,2022-09-19,127,32,Normal,N
162,1,2022-09-20,111,37,Normal,N
163,1,2022-09-21,125,33,Normal,N
164,1,2022-09-22,4,40,Moderate,N
165,1,2022-09-23,138,24,Moderate,N
166,1,2022-09-24,13,29,Moderate,N
167,1,2022-09-25,39,43,Moderate,N
168,1,2022-09-26,113,30,Normal,N
169,1,2022-09-27,65,43,Severe,Y
170,1,2022-09-28,105,37,Moderate,N
171,1,2022-09-29,45,27,Moderate,N
172,1,2022-09-30,128,30,Normal,N
173,1,2022-10-01,30,43,Normal,N
174,1,2022-10-02,43,30,Normal,N
175,1,2022-10-03,93,37,Normal,N
176,1,2022-10-04,81,42,Normal,N
177,1,2022-10-05,17,24,Normal,N
178,1,2022-10-06,27,41,Normal,N
179,1,2022-10-07,113,28,Normal,N
180,1,2022-10-08,92,24,Normal,N
181,1,2022-10-09,14,29,Moderate,N
182,1,2022-10-10,121,41,Moderate,N
183,1,2022-10-11,29,30,Moderate,N
184,1,2022-10-12,85,30,Normal,N
185,1,2022-10-13,128,34,Normal,N
186,1,2022-10-14,79,25,Moderate,N
187,1,2022-10-15,126,34,Moderate,N
188,1,2022-10-16,88,33,Normal,N
189,1,2022-10-17,88,35,Moderate,N
190,1,2022-10-18,90,38,Moderate,N
191,1,2022-10-19,49,27,Normal,N
192,1,2022-10-20,109,33,Normal,N
193,1,2022-10-21,105,34,Moderate,N
194,1,2022-10-22,45,24,Normal,N
195,1,2022-10-23,97,24,Normal,N
196,1,2022-10-24,19,42,Normal,N
197,1,2022-10-25,98,36,Moderate,N
198,1,2022-10-26,50,27,Normal,N
199,1,2022-10-27,126,43,Normal,N
200,1,2022-10-28,19,28,Moderate,N
201,1,2022-10-29,137,32,Normal,N
202,1,2022-10-30,4,32,Normal,N
203,1,2022-10-31,90,28,Moderate,N
204,1,2022-11-01,59,35,Normal,N
205,1,2022-11-02,72,38,Normal,N
206,1,2022-11-03,100,40,Normal,N
207,1,2022-11-04,11,30,Normal,N
208,1,2022-11-05,132,39,Normal,N
209,1,2022-11-06,28,26,Normal,N
210,1,2022-11-07,72,26,Normal,N
211,1,2022-11-08,30,24,Moderate,N
212,1,2022-11-09,24,33,Severe,Y
213,1,2022-11-10,74,41,Moderate,N
214,1,2022-11-11,46,42,Moderate,N
215,1,2022-11-12,109,35,Normal,N
216,1,2022-11-13,6,25,Normal,N
217,1,2022-11-14,9,30,Moderate,N
218,1,2022-11-15,91,38,Normal,N
219,1,2022-11-16,124,33,Normal,N
220,1,2022-11-17,135,33,Normal,N
221,1,2022-11-18,26,25,Normal,N
222,1,2022-11-19,51,36,Normal,N
223,1,2022-11-20,123,34,Normal,N
224,1,2022-11-21,130,39,Moderate,N
225,1,2022-11-22,125,41,Normal,N
226,1,2022-11-23,29,42,Normal,N
227,1,2022-11-24,27,28,Normal,N
228,1,2022-11-25,64,28,Moderate,N
229,1,2022-11-26,48,37,Normal,N
230,1,2022-11-27,10,29,Normal,N
231,1,2022-11-28,10,33,Normal,N
232,1,2022-11-29,31,27,Normal,N
233,1,2022-11-30,99,43,Normal,N
234,1,2022-12-01,103,36,Normal,N
235,1,2022-12-02,112,24,Normal,N
236,1,2022-12-03,45,35,Normal,N
237,1,2022-12-04,73,31,Normal,N
238,1,2022-12-05,135,29,Normal,N
239,1,2022-12-06,70,36,Moderate,N
240,1,2022-12-07,125,36,Normal,N
241,1,2022-12-08,26,41,Normal,N
242,1,2022-12-09,9,36,Moderate,N
243,1,2022-12-10,69,35,Moderate,N
244,1,2022-12-11,0,39,Moderate,N
245,1,2022-12-12,17,41,Severe,Y
246,1,2022-12-13,138,42,Normal,N
247,1,2022-12-14,136,24,Severe,Y
248,1,2022-12-15,111,31,Moderate,N
249,1,2022-12-16,7,41,Normal,N
250,1,2022-12-17,132,27,Normal,N
251,1,2022-12-18,81,26,Severe,Y
252,1,2022-12-19,93,28,Normal,N
253,1,2022-12-20,49,38,Normal,N
254,1,2022-12-21,139,40,Normal,N
255,1,2022-12-22,67,33,Normal,N
256,1,2022-12-23,20,38,Normal,N
257,1,2022-12-24,33,36,Normal,N
258,1,2022-12-25,14,40,Normal,N
259,1,2022-12-26,135,25,Normal,N
260,1,2022-12-27,76,31,Normal,N
261,1,2022-12-28,61,35,Normal,N
262,1,2022-12-29,136,33,Normal,N
263,1,2022-12-30,128,24,Normal,N
264,1,2022-12-31,71,38,Normal,N
265,1,2023-01-01,26,41,Severe,Y
266,1,2023-01-02,125,37,Moderate,N
267,1,2023-01-03,9,32,Moderate,N
268,1,2023-01-04,10,27,Severe,Y
269,1,2023-01-05,122,38,Normal,N
270,1,2023-01-06,91,28,Normal,N
271,1,2023-01-07,129,28,Normal,N
272,1,2023-01-08,22,26,Severe,Y
273,1,2023-01-09,6,41,Normal,N
274,1,2023-01-10,36,24,Normal,N
275,1,2023-01-11,12,36,Normal,N
276,1,2023-01-12,6,43,Severe,Y
277,1,2023-01-13,55,25,Moderate,N
278,1,2023-01-14,112,32,Normal,N
279,1,2023-01-15,137,42,Normal,N
280,1,2023-01-16,15,34,Normal,N
281,1,2023-01-17,18,33,Moderate,N
282,1,2023-01-18,22,42,Normal,N
283,1,2023-01-19,124,24,Normal,N
284,1,2023-01-20,92,26,Normal,N
285,1,2023-01-21,58,31,Normal,N
286,1,2023-01-22,116,29,Normal,N
287,1,2023-01-23,48,41,Normal,N
288,1,2023-01-24,116,37,Normal,N
289,1,2023-01-25,46,30,Normal,N
290,1,2023-01-26,1,32,Moderate,N
291,1,2023-01-27,115,37,Normal,N
292,1,2023-01-28,42,24,Normal,N
293,1,2023-01-29,47,28,Moderate,N
294,1,2023-01-30,104,33,Normal,N
295,1,2023-01-31,42,31,Moderate,N
296,1,2023-02-01,56,32,Moderate,N
297,1,2023-02-02,105,43,Normal,N
298,1,2023-02-03,104,34,Normal,N
299,1,2023-02-04,118,36,Moderate,N
300,1,2023-02-05,94,30,Severe,Y
301,1,2023-02-06,78,30,Normal,N
302,1,2023-02-07,19,30,Normal,N
303,1,2023-02-08,132,24,Normal,N
304,1,2023-02-09,8,30,Normal,N
305,1,2023-02-10,125,41,Moderate,N
306,1,2023-02-11,131,30,Moderate,N
307,1,2023-02-12,106,39,Moderate,N
308,1,2023-02-13,8,32,Normal,N
309,1,2023-02-14,83,24,Normal,N
310,1,2023-02-15,116,28,Normal,N
311,1,2023-02-16,63,31,Normal,N
312,1,2023-02-17,123,39,Normal,N
313,1,2023-02-18,91,33,Moderate,N
314,1,2023-02-19,98,35,Normal,N
315,1,2023-02-20,73,39,Moderate,N
316,1,2023-02-21,115,35,Normal,N
317,1,2023-02-22,103,35,Normal,N
318,1,2023-02-23,28,30,Normal,N
319,1,2023-02-24,138,27,Normal,N
320,1,2023-02-25,19,39,Normal,N
321,1,2023-02-26,121,43,Moderate,N
322,1,2023-02-27,115,27,Moderate,N
323,1,2023-02-28,84,41,Moderate,N
324,1,2023-03-01,30,30,Normal,N
325,1,2023-03-02,100,30,Moderate,N
326,1,2023-03-03,40,43,Moderate,N
327,1,2023-03-04,67,26,Moderate,N
328,1,2023-03-05,71,25,Severe,Y
329,1,2023-03-06,140,26,Moderate,N
330,1,2023-03-07,44,25,Moderate,N
331,1,2023-03-08,102,35,Normal,N
332,1,2023-03-09,88,37,Normal,N
333,1,2023-03-10,58,41,Normal,N
334,1,2023-03-11,30,34,Normal,N
335,1,2023-03-12,104,43,Normal,N
336,1,2023-03-13,108,27,Normal,N
337,1,2023-03-14,48,42,Normal,N
338,1,2023-03-15,21,40,Normal,N
339,1,2023-03-16,1,27,Normal,N
340,1,2023-03-17,82,41,Normal,N
341,1,2023-03-18,87,30,Normal,N
342,1,2023-03-19,91,41,Normal,N
343,1,2023-03-20,30,39,Moderate,N
344,1,2023-03-21,68,39,Normal,N
345,1,2023-03-22,22,34,Normal,N
346,1,2023-03-23,45,32,Normal,N
347,1,2023-03-24,40,37,Normal,N
348,1,2023-03-25,85,28,Normal,N
349,1,2023-03-26,99,35,Normal,N
350,1,2023-03-27,14,40,Severe,Y
351,1,2023-03-28,62,31,Normal,N
352,1,2023-03-29,114,27,Normal,N
353,1,2023-03-30,28,40,Normal,N
354,1,2023-03-31,58,40,Severe,Y
355,1,2023-04-01,36,24,Moderate,N
356,1,2023-04-02,21,42,Moderate,N
357,1,2023-04-03,106,30,Normal,N
358,1,2023-04-04,15,40,Normal,N
359,1,2023-04-05,114,37,Moderate,N
360,1,2023-04-06,81,32,Normal,N
361,1,2023-04-07,91,38,Moderate,N
362,1,2023-04-08,126,29,Normal,N
363,1,2023-04-09,58,31,Normal,N
364,1,2023-04-10,24,36,Normal,N
365,1,2023-04-11,55,43,Normal,N
366,1,2023-04-12,111,38,Normal,N
367,1,2023-04-13,121,26,Normal,N
368,1,2023-04-14,8,36,Normal,N
369,1,2023-04-15,41,29,Moderate,N
370,1,2023-04-16,15,31,Moderate,N
371,1,2023-04-17,92,38,Normal,N
372,1,2023-04-18,43,27,Moderate,N
373,1,2023-04-19,118,33,Moderate,N
374,1,2023-04-20,75,42,Normal,N
375,1,2023-04-21,112,28,Moderate,N
376,1,2023-04-22,121,43,Normal,N
377,1,2023-04-23,125,35,Normal,N
378,1,2023-04-24,43,39,Moderate,N
379,1,2023-04-25,95,34,Moderate,N
380,1,2023-04-26,4,42,Severe,Y
381,1,2023-04-27,113,39,Normal,N
382,1,2023-04-28,87,36,Normal,N
383,1,2023-04-29,49,30,Moderate,N
384,1,2023-04-30,2,36,Normal,N
385,1,2023-05-01,6,29,Normal,N
386,1,2023-05-02,15,40,Normal,N
387,1,2023-05-03,49,38,Normal,N
388,1,2023-05-04,85,28,Moderate,N
389,1,2023-05-05,27,28,Moderate,N
390,1,2023-05-06,27,34,Severe,Y
391,1,2023-05-07,5,37,Normal,N
392,1,2023-05-08,112,40,Severe,Y
393,1,2023-05-09,8,29,Severe,Y
394,1,2023-05-10,17,42,Normal,N
395,1,2023-05-11,118,30,Normal,N
396,1,2023-05-12,84,42,Moderate,N
397,1,2023-05-13,18,42,Moderate,N
398,1,2023-05-14,35,28,Moderate,N
399,1,2023-05-15,76,40,Moderate,N
400,1,2023-05-16,106,41,Normal,N
401,1,2023-05-17,37,26,Severe,Y
402,1,2023-05-18,5,37,Normal,N
403,1,2023-05-19,24,36,Severe,Y
404,1,2023-05-20,91,43,Normal,N
405,1,2023-05-21,80,42,Moderate,N
406,1,2023-05-22,41,32,Moderate,N
407,1,2023-05-23,139,25,Normal,N
408,1,2023-05-24,2,37,Moderate,N
409,1,2023-05-25,74,38,Normal,N
410,1,2023-05-26,68,40,Moderate,N
411,1,2023-05-27,102,39,Normal,N
412,1,2023-05-28,64,31,Normal,N
413,1,2023-05-29,135,43,Normal,N
414,1,2023-05-30,62,36,Normal,N
415,1,2023-05-31,68,24,Normal,N
416,1,2023-06-01,85,33,Normal,N
417,1,2023-06-02,47,40,Normal,N
418,1,2023-06-03,101,25,Normal,N
419,1,2023-06-04,94,38,Normal,N
420,1,2023-06-05,111,41,Moderate,N
421,1,2023-06-06,114,26,Normal,N
422,1,2023-06-07,71,32,Normal,N
423,1,2023-06-08,106,43,Moderate,N
424,1,2023-06-09,117,25,Normal,N
425,1,2023-06-10,116,37,Normal,N
426,1,2023-06-11,117,37,Normal,N
427,1,2023-06-12,9,25,Normal,N
428,1,2023-06-13,83,24,Normal,N
429,1,2023-06-14,63,26,Normal,N
430,1,2023-06-15,128,37,Normal,N
431,1,2023-06-16,105,35,Normal,N
432,1,2023-06-17,140,27,Severe,Y
433,1,2023-06-18,38,39,Normal,N
434,1,2023-06-19,85,28,Moderate,N
435,1,2023-06-20,63,43,Normal,N
436,1,2023-06-21,131,38,Normal,N
437,1,2023-06-22,32,26,Moderate,N
438,1,2023-06-23,2,26,Moderate,N
439,1,2023-06-24,3,32,Normal,N
440,1,2023-06-25,47,25,Normal,N
441,1,2023-06-26,60,38,Moderate,N
442,1,2023-06-27,96,42,Normal,N
443,1,2023-06-28,34,33,Normal,N
444,1,2023-06-29,21,43,Moderate,N
445,1,2023-06-30,114,36,Normal,N
446,1,2023-07-01,16,29,Normal,N
447,1,2023-07-02,59,43,Normal,N
448,1,2023-07-03,23,43,Moderate,N
449,1,2023-07-04,113,37,Normal,N
450,1,2023-07-05,54,39,Normal,N
451,1,2023-07-06,79,38,Normal,N
452,1,2023-07-07,52,36,Normal,N
453,1,2023-07-08,113,42,Normal,N
454,1,2023-07-09,119,30,Moderate,N
455,1,2023-07-10,92,36,Normal,N
456,1,2023-07-11,114,29,Moderate,N
457,1,2023-07-12,68,34,Normal,N
458,1,2023-07-13,125,40,Severe,Y
459,1,2023-07-14,38,33,Normal,N
460,1,2023-07-15,40,24,Severe,Y
461,1,2023-07-16,137,29,Normal,N
462,1,2023-07-17,7,36,Moderate,N
463,1,2023-07-18,80,29,Normal,N
464,1,2023-07-19,104,35,Normal,N
465,1,2023-07-20,64,31,Severe,Y
466,1,2023-07-21,27,24,Normal,N
467,1,2023-07-22,103,32,Moderate,N
468,1,2023-07-23,127,24,Normal,N
469,1,2023-07-24,3,37,Moderate,N
470,1,2023-07-25,103,39,Normal,N
471,1,2023-07-26,44,31,Normal,N
472,1,2023-07-27,69,29,Normal,N
473,1,2023-07-28,78,27,Normal,N
474,1,2023-07-29,77,36,Severe,Y
475,1,2023-07-30,4,32,Normal,N
476,1,2023-07-31,58,32,Normal,N
477,1,2023-08-01,80,38,Moderate,N
478,1,2023-08-02,72,36,Normal,N
479,1,2023-08-03,56,42,Normal,N
480,1,2023-08-04,127,24,Normal,N
481,1,2023-08-05,31,37,Normal,N
482,1,2023-08-06,84,26,Normal,N
483,1,2023-08-07,116,42,Moderate,N
484,1,2023-08-08,140,42,Normal,N
485,1,2023-08-09,104,36,Normal,N
486,1,2023-08-10,99,34,Normal,N
487,1,2023-08-11,36,31,Moderate,N
488,1,2023-08-12,101,28,Moderate,N
489,1,2023-08-13,129,24,Normal,N
490,1,2023-08-14,32,32,Normal,N
491,1,2023-08-15,45,30,Normal,N
492,1,2023-08-16,126,33,Normal,N
493,1,2023-08-17,29,36,Normal,N
494,1,2023-08-18,129,32,Normal,N
495,1,2023-08-19,127,39,Normal,N
496,1,2023-08-20,45,38,Severe,Y
497,1,2023-08-21,85,36,Normal,N
498,1,2023-08-22,16,25,Normal,N
499,1,2023-08-23,39,31,Normal,N
500,1,2023-08-24,8,31,Normal,N
501,1,2023-08-25,56,31,Moderate,N
502,1,2023-08-26,104,30,Moderate,N
503,1,2023-08-27,44,38,Severe,Y
504,1,2023-08-28,106,33,Normal,N
505,1,2023-08-29,123,40,Normal,N
506,1,2023-08-30,81,34,Normal,N
507,1,2023-08-31,16,29,Severe,Y
508,1,2023-09-01,58,27,Normal,N
509,1,2023-09-02,10,27,Normal,N
510,1,2023-09-03,36,37,Normal,N
511,1,2023-09-04,57,24,Normal,N
512,1,2023-09-05,65,38,Severe,Y
513,1,2023-09-06,128,26,Normal,N
514,1,2023-09-07,25,42,Severe,Y
515,1,2023-09-08,46,25,Moderate,N
516,1,2023-09-09,99,43,Normal,N
517,1,2023-09-10,1,37,Normal,N
518,1,2023-09-11,41,38,Moderate,N
519,1,2023-09-12,56,42,Normal,N
520,1,2023-09-13,99,40,Moderate,N
521,1,2023-09-14,73,31,Normal,N
522,1,2023-09-15,72,28,Moderate,N
523,1,2023-09-16,113,34,Normal,N
524,1,2023-09-17,71,28,Normal,N
525,1,2023-09-18,73,41,Moderate,N
526,1,2023-09-19,79,25,Normal,N
527,1,2023-09-20,140,27,Normal,N
528,1,2023-09-21,53,28,Moderate,N
529,1,2023-09-22,123,42,Normal,N
530,1,2023-09-23,47,43,Normal,N
531,1,2023-09-24,13,40,Moderate,N
532,1,2023-09-25,15,42,Normal,N
533,1,2023-09-26,78,36,Normal,N
534,1,2023-09-27,129,36,Normal,N
535,1,2023-09-28,38,37,Moderate,N
536,1,2023-09-29,140,38,Moderate,N
537,1,2023-09-30,102,39,Moderate,N
538,1,2023-10-01,35,37,Normal,N
539,1,2023-10-02,15,33,Moderate,N
540,1,2023-10-03,70,41,Normal,N
541,1,2023-10-04,23,28,Normal,N
542,1,2023-10-05,5,30,Normal,N
543,1,2023-10-06,127,26,Normal,N
544,1,2023-10-07,139,25,Normal,N
545,1,2023-10-08,111,36,Moderate,N
546,1,2023-10-09,96,31,Moderate,N
547,1,2023-10-10,123,41,Normal,N
548,1,2023-10-11,73,29,Moderate,N
549,1,2023-10-12,36,24,Normal,N
550,1,2023-10-13,113,36,Normal,N
551,1,2023-10-14,10,38,Normal,N
552,1,2023-10-15,53,33,Severe,Y
553,1,2023-10-16,32,28,Moderate,N
554,1,2023-10-17,0,33,Normal,N
555,1,2023-10-18,27,41,Normal,N
556,1,2023-10-19,123,40,Normal,N
557,1,2023-10-20,36,35,Moderate,N
558,1,2023-10-21,15,34,Normal,N
559,1,2023-10-22,50,29,Severe,Y
560,1,2023-10-23,77,41,Normal,N
561,1,2023-10-24,86,39,Normal,N
562,1,2023-10-25,5,37,Normal,N
563,1,2023-10-26,102,26,Normal,N
564,1,2023-10-27,40,26,Moderate,N
565,1,2023-10-28,97,43,Moderate,N
566,1,2023-10-29,30,31,Severe,Y
567,1,2023-10-30,70,33,Normal,N
568,1,2023-10-31,78,34,Normal,N
569,1,2023-11-01,88,31,Moderate,N
570,1,2023-11-02,78,32,Normal,N
571,1,2023-11-03,92,40,Normal,N
572,1,2023-11-04,53,39,Normal,N
573,1,2023-11-05,87,35,Normal,N
574,1,2023-11-06,18,26,Normal,N
575,1,2023-11-07,38,31,Normal,N
576,1,2023-11-08,2,43,Normal,N
577,1,2023-11-09,76,43,Normal,N
578,1,2023-11-10,128,39,Moderate,N
579,1,2023-11-11,35,27,Moderate,N
580,1,2023-11-12,45,32,Normal,N
581,1,2023-11-13,124,25,Normal,N
582,1,2023-11-14,138,24,Normal,N
583,1,2023-11-15,81,42,Moderate,N
584,1,2023-11-16,130,30,Moderate,N
585,1,2023-11-17,8,38,Normal,N
586,1,2023-11-18,0,31,Moderate,N
587,1,2023-11-19,7,41,Normal,N
588,1,2023-11-20,119,32,Normal,N
589,1,2023-11-21,14,36,Normal,N
590,1,2023-11-22,2,41,Moderate,N
591,1,2023-11-23,18,42,Severe,Y
592,1,2023-11-24,85,36,Moderate,N
593,1,2023-11-25,54,27,Severe,Y
594,1,2023-11-26,117,37,Normal,N
595,1,2023-11-27,39,38,Moderate,N
596,1,2023-11-28,103,43,Normal,N
597,1,2023-11-29,64,35,Normal,N
598,1,2023-11-30,140,27,Moderate,N
599,1,2023-12-01,75,37,Severe,Y
600,1,2023-12-02,49,37,Moderate,N
601,1,2023-12-03,98,40,Normal,N
602,1,2023-12-04,31,43,Normal,N
603,1,2023-12-05,129,29,Normal,N
604,1,2023-12-06,133,38,Normal,N
605,1,2023-12-07,69,29,Normal,N
606,1,2023-12-08,128,25,Severe,Y
607,1,2023-12-09,75,31,Severe,Y
608,1,2023-12-10,97,43,Normal,N
609,1,2023-12-11,29,40,Normal,N
610,1,2023-12-12,107,35,Normal,N
611,1,2023-12-13,60,33,Moderate,N
612,1,2023-12-14,26,35,Normal,N
613,1,2023-12-15,109,42,Severe,Y
614,1,2023-12-16,96,37,Normal,N
615,1,2023-12-17,55,36,Normal,N
616,1,2023-12-18,94,32,Normal,N
617,1,2023-12-19,125,35,Normal,N
618,1,2023-12-20,98,39,Severe,Y
619,1,2023-12-21,129,35,Moderate,N
620,1,2023-12-22,66,33,Normal,N
621,1,2023-12-23,133,36,Moderate,N
622,1,2023-12-24,96,27,Normal,N
623,1,2023-12-25,133,32,Normal,N
624,1,2023-12-26,62,34,Normal,N
625,1,2023-12-27,18,37,Moderate,N
626,1,2023-12-28,105,32,Normal,N
627,1,2023-12-29,48,40,Normal,N
628,1,2023-12-30,131,37,Normal,N
629,1,2023-12-31,96,40,Severe,Y
630,1,2024-01-01,130,32,Moderate,N
631,1,2024-01-02,12,34,Normal,N
632,1,2024-01-03,52,25,Normal,N
633,1,2024-01-04,48,43,Moderate,N
634,1,2024-01-05,134,30,Severe,Y
635,1,2024-01-06,32,37,Normal,N
636,1,2024-01-07,113,27,Severe,Y
637,1,2024-01-08,75,33,Normal,N
638,1,2024-01-09,136,37,Normal,N
639,1,2024-01-10,122,43,Severe,Y
640,1,2024-01-11,133,28,Moderate,N
641,1,2024-01-12,39,41,Normal,N
642,1,2024-01-13,125,32,Severe,Y
643,1,2024-01-14,131,38,Normal,N
644,1,2024-01-15,87,42,Moderate,N
645,1,2024-01-16,52,31,Normal,N
646,1,2024-01-17,42,25,Normal,N
647,1,2024-01-18,113,32,Moderate,N
648,1,2024-01-19,75,30,Moderate,N
649,1,2024-01-20,52,30,Moderate,N
650,1,2024-01-21,1,25,Normal,N
651,1,2024-01-22,126,42,Normal,N
