task_id,project_id,wbs_level,task_name,task_category,planned_start_date,planned_end_date,planned_duration_days,task_weight_pct,critical_flag,baseline_sequence_no
10060,1,4,Water Supply Line Installation,Plumbing,2022-04-12,2022-04-23,11,2.81,N,498
10061,1,2,Underground Drainage,Plumbing,2022-08-01,2022-08-22,21,0.71,Y,483
10062,1,1,Underground Drainage,Plumbing,2023-10-28,2023-11-06,9,2.41,Y,292
10063,1,4,Backfilling and Compaction,Civil,2022-08-21,2022-09-13,23,2.19,Y,51
10064,1,4,Backfilling and Compaction,Civil,2023-10-01,2023-10-20,19,1.0,Y,6
10065,1,3,Floor Tiling,Finishing,2023-07-27,2023-08-20,24,2.04,Y,244
10066,1,1,Internal Plastering,Finishing,2023-10-24,2023-11-15,22,2.89,N,29
10067,1,1,Excavation for Foundations,Civil,2023-09-04,2023-10-07,33,0.99,N,474
10068,1,3,Conduit Laying,Electrical,2023-08-29,2023-09-07,9,2.24,N,350
10069,1,1,Underground Drainage,Plumbing,2022-04-18,2022-05-13,25,0.85,Y,160
10070,1,3,Column Casting,Structural,2023-08-01,2023-08-22,21,2.35,N,56
10071,1,2,Floor Tiling,Finishing,2023-12-27,2024-01-14,18,1.61,Y,486
10072,1,2,Internal Plastering,Finishing,2023-05-19,2023-05-29,10,0.36,Y,213
10073,1,4,Site Clearing and Grading,Civil,2022-10-17,2022-11-18,32,2.73,N,376
10074,1,2,Site Clearing and Grading,Civil,2022-09-28,2022-10-26,28,0.8,N,17
10075,1,3,Panel Installation,Electrical,2024-04-23,2024-05-24,31,2.96,N,87
10076,1,1,Site Clearing and Grading,Civil,2022-07-01,2022-07-25,24,1.25,Y,288
10077,1,4,Beam Reinforcement Installation,Structural,2023-04-12,2023-05-08,26,0.54,N,101
10078,1,3,Panel Installation,Electrical,2023-07-13,2023-08-01,19,1.28,N,16
10079,1,1,Underground Drainage,Plumbing,2024-01-12,2024-02-13,32,1.31,N,33
10080,1,3,Backfilling and Compaction,Civil,2022-10-28,2022-11-08,11,1.28,N,491
10081,1,3,Internal Plastering,Finishing,2023-01-05,2023-02-01,27,1.1,Y,13
10082,1,4,Footing Reinforcement Fixing,Structural,2023-08-11,2023-09-16,36,2.43,N,418
10083,1,1,Underground Drainage,Plumbing,2023-09-02,2023-09-20,18,2.47,N,422
10084,1,4,Column Casting,Structural,2023-03-13,2023-04-09,27,1.28,Y,263
10085,1,2,Beam Reinforcement Installation,Structural,2024-05-21,2024-06-07,17,1.4,Y,247
10086,1,4,Painting and Polishing,Finishing,2023-03-11,2023-03-28,17,2.69,Y,136
10087,1,4,Internal Plastering,Finishing,2022-11-11,2022-11-24,13,1.65,N,89
10088,1,2,Column Casting,Structural,2023-06-12,2023-07-18,36,2.32,Y,400
10089,1,3,Cable Pulling,Electrical,2023-01-23,2023-02-16,24,0.99,N,102
10090,1,2,Underground Drainage,Plumbing,2022-10-19,2022-11-10,22,0.71,Y,168
10091,1,2,Internal Road Works,Civil,2022-12-25,2023-01-16,22,2.05,Y,335
10092,1,4,Underground Drainage,Plumbing,2022-07-25,2022-08-01,7,2.68,Y,431
10093,1,2,Water Supply Line Installation,Plumbing,2022-05-23,2022-06-17,25,0.62,Y,308
10094,1,2,Internal Plastering,Finishing,2022-06-27,2022-07-27,30,1.51,N,397
10095,1,2,Site Clearing and Grading,Civil,2024-01-24,2024-02-22,29,0.4,N,73
10096,1,2,Excavation for Foundations,Civil,2022-12-29,2023-01-07,9,2.5,N,210
10097,1,1,Conduit Laying,Electrical,2024-01-07,2024-02-02,26,0.85,N,281
10098,1,4,Underground Drainage,Plumbing,2023-06-03,2023-06-16,13,2.09,Y,328
10099,1,4,Internal Plastering,Finishing,2024-02-09,2024-02-26,17,2.18,N,146
10100,1,3,Cable Pulling,Electrical,2022-06-03,2022-06-29,26,1.42,Y,443
10101,1,4,Panel Installation,Electrical,2022-10-30,2022-12-01,32,0.85,Y,223
10102,1,4,Beam Reinforcement Installation,Structural,2022-08-06,2022-08-18,12,1.86,N,236
10103,1,2,Column Casting,Structural,2022-04-27,2022-05-07,10,2.03,N,46
10104,1,2,Painting and Polishing,Finishing,2023-04-26,2023-06-04,39,0.69,N,83
10105,1,4,Internal Plastering,Finishing,2022-06-19,2022-07-02,13,1.62,Y,155
10106,1,1,Footing Reinforcement Fixing,Structural,2023-08-19,2023-09-15,27,1.94,N,45
10107,1,4,Painting and Polishing,Finishing,2022-09-23,2022-10-14,21,1.96,Y,425
10108,1,1,Underground Drainage,Plumbing,2023-11-11,2023-12-01,20,1.38,Y,197
10109,1,2,Conduit Laying,Electrical,2022-09-12,2022-10-04,22,0.41,Y,342
10110,1,3,Conduit Laying,Electrical,2023-05-16,2023-06-21,36,2.05,N,299
10111,1,4,Beam Reinforcement Installation,Structural,2023-05-15,2023-06-14,30,1.66,Y,12
10112,1,4,Internal Road Works,Civil,2023-08-01,2023-08-23,22,2.36,N,429
10113,1,1,Beam Reinforcement Installation,Structural,2023-05-26,2023-06-08,13,0.65,N,188
10114,1,1,Internal Road Works,Civil,2023-09-10,2023-10-19,39,0.41,Y,43
10115,1,1,Panel Installation,Electrical,2023-09-17,2023-09-29,12,2.33,N,335
10116,1,2,Footing Reinforcement Fixing,Structural,2022-06-18,2022-07-02,14,0.66,N,148
10117,1,3,Column Casting,Structural,2022-06-18,2022-07-17,29,0.73,N,464
10118,1,4,Underground Drainage,Plumbing,2022-12-28,2023-02-05,39,0.86,N,316
10119,1,1,Internal Plastering,Finishing,2023-03-04,2023-04-03,30,0.84,N,83
10120,1,2,Panel Installation,Electrical,2023-03-13,2023-04-13,31,2.44,N,59
10121,1,4,Internal Plastering,Finishing,2024-01-23,2024-02-22,30,1.8,Y,130
10122,1,3,Painting and Polishing,Finishing,2023-05-20,2023-06-19,30,1.31,N,296
10123,1,4,Slab Shuttering and Pouring,Structural,2023-03-16,2023-03-28,12,0.92,Y,152
10124,1,1,Floor Tiling,Finishing,2023-02-23,2023-03-22,27,2.32,Y,77
10125,1,4,Panel Installation,Electrical,2024-01-12,2024-02-15,34,1.68,Y,68
10126,1,1,Underground Drainage,Plumbing,2023-12-30,2024-01-08,9,0.45,N,156
10127,1,4,Backfilling and Compaction,Civil,2023-10-10,2023-10-31,21,1.88,Y,105
10128,1,2,Panel Installation,Electrical,2023-08-11,2023-08-28,17,0.34,Y,363
10129,1,2,Beam Reinforcement Installation,Structural,2022-07-19,2022-07-30,11,2.65,N,206
10130,1,4,Conduit Laying,Electrical,2022-06-08,2022-07-07,29,1.93,N,128
10131,1,1,Footing Reinforcement Fixing,Structural,2022-05-27,2022-06-06,10,1.4,Y,82
10132,1,2,Site Clearing and Grading,Civil,2022-04-24,2022-05-13,19,1.42,N,417
10133,1,1,Internal Plastering,Finishing,2023-09-14,2023-10-10,26,1.11,Y,456
10134,1,4,Underground Drainage,Plumbing,2023-05-01,2023-06-04,34,0.52,N,90
10135,1,1,Footing Reinforcement Fixing,Structural,2023-01-04,2023-01-25,21,0.63,N,365
10136,1,3,Backfilling and Compaction,Civil,2024-01-23,2024-02-26,34,1.1,Y,44
10137,1,2,Internal Plastering,Finishing,2022-10-02,2022-10-25,23,2.57,Y,484
10138,1,3,Slab Shuttering and Pouring,Structural,2022-10-25,2022-11-25,31,1.92,N,465
10139,1,1,Floor Tiling,Finishing,2023-08-08,2023-09-17,40,2.62,N,490
10140,1,1,Slab Shuttering and Pouring,Structural,2022-11-15,2022-12-17,32,1.83,Y,75
10141,1,2,Site Clearing and Grading,Civil,2022-08-04,2022-08-17,13,1.23,Y,359
10142,1,1,Site Clearing and Grading,Civil,2022-05-24,2022-06-08,15,2.18,Y,34
10143,1,4,Floor Tiling,Finishing,2022-11-02,2022-11-13,11,0.59,Y,105
10144,1,3,Site Clearing and Grading,Civil,2022-05-17,2022-05-29,12,1.59,Y,51
10145,1,4,Slab Shuttering and Pouring,Structural,2023-03-04,2023-04-01,28,1.01,N,132
10146,1,3,Conduit Laying,Electrical,2024-04-13,2024-05-13,30,2.38,N,436
10147,1,4,Panel Installation,Electrical,2024-05-14,2024-05-22,8,0.38,Y,178
10148,1,1,Underground Drainage,Plumbing,2023-10-14,2023-11-03,20,1.85,N,88
10149,1,3,Underground Drainage,Plumbing,2023-09-30,2023-10-19,19,2.36,Y,3
10150,1,2,Cable Pulling,Electrical,2022-07-18,2022-08-25,38,2.91,N,491
10151,1,3,Floor Tiling,Finishing,2023-11-24,2023-12-11,17,2.5,Y,256
10152,1,4,Footing Reinforcement Fixing,Structural,2024-01-23,2024-02-04,12,2.43,Y,322
10153,1,4,Cable Pulling,Electrical,2022-07-18,2022-08-19,32,2.71,Y,217
10154,1,3,Backfilling and Compaction,Civil,2022-11-09,2022-12-05,26,1.46,Y,195
10155,1,3,Beam Reinforcement Installation,Structural,2022-08-19,2022-08-28,9,1.87,Y,445
10156,1,4,Water Supply Line Installation,Plumbing,2022-10-02,2022-11-07,36,2.16,N,297
10157,1,2,Column Casting,Structural,2023-03-20,2023-04-25,36,1.67,N,155
10158,1,2,Internal Plastering,Finishing,2024-04-21,2024-05-07,16,2.25,N,83
10159,1,1,Slab Shuttering and Pouring,Structural,2022-10-22,2022-11-14,23,0.74,Y,101
10160,1,3,Underground Drainage,Plumbing,2022-09-10,2022-10-06,26,1.47,Y,56
10161,1,4,Backfilling and Compaction,Civil,2022-11-09,2022-12-10,31,0.39,N,438
10162,1,4,Underground Drainage,Plumbing,2023-09-06,2023-10-01,25,0.36,N,310
10163,1,4,Underground Drainage,Plumbing,2024-05-09,2024-05-31,22,2.19,N,434
10164,1,1,Column Casting,Structural,2024-03-07,2024-03-25,18,1.53,N,134
10165,1,2,Internal Road Works,Civil,2022-12-16,2023-01-17,32,0.98,N,248
10166,1,2,Underground Drainage,Plumbing,2024-01-08,2024-02-10,33,2.72,N,399
10167,1,1,Internal Road Works,Civil,2023-08-26,2023-09-08,13,0.98,Y,83
10168,1,2,Slab Shuttering and Pouring,Structural,2022-07-24,2022-08-29,36,2.24,Y,328
10169,1,4,Panel Installation,Electrical,2023-03-29,2023-05-01,33,0.87,Y,201
10170,1,1,Internal Plastering,Finishing,2024-04-27,2024-05-26,29,0.98,N,205
10171,1,4,Site Clearing and Grading,Civil,2022-06-27,2022-07-30,33,2.0,N,298
10172,1,4,Conduit Laying,Electrical,2022-11-27,2022-12-23,26,2.84,Y,411
10173,1,2,Water Supply Line Installation,Plumbing,2022-11-15,2022-12-02,17,2.81,Y,415
10174,1,2,Beam Reinforcement Installation,Structural,2024-01-29,2024-02-19,21,1.25,N,240
10175,1,4,Panel Installation,Electrical,2024-02-06,2024-02-21,15,1.26,Y,137
10176,1,4,Water Supply Line Installation,Plumbing,2023-06-22,2023-07-10,18,0.31,N,184
10177,1,4,Slab Shuttering and Pouring,Structural,2023-03-06,2023-04-12,37,1.46,Y,338
10178,1,1,Conduit Laying,Electrical,2023-02-16,2023-03-19,31,0.53,N,402
10179,1,1,Slab Shuttering and Pouring,Structural,2024-01-20,2024-01-27,7,0.87,Y,336
10180,1,2,Cable Pulling,Electrical,2023-12-25,2024-01-07,13,2.61,Y,398
10181,1,4,Water Supply Line Installation,Plumbing,2022-09-15,2022-10-05,20,2.44,Y,313
10182,1,2,Internal Plastering,Finishing,2024-02-25,2024-03-22,26,1.64,Y,272
10183,1,1,Internal Road Works,Civil,2024-02-28,2024-03-13,14,1.01,Y,424
10184,1,4,Beam Reinforcement Installation,Structural,2023-08-29,2023-09-08,10,1.56,Y,359
10185,1,1,Underground Drainage,Plumbing,2023-09-04,2023-09-21,17,0.73,N,240
10186,1,4,Floor Tiling,Finishing,2024-02-22,2024-03-18,25,1.31,N,492
10187,1,1,Excavation for Foundations,Civil,2024-01-24,2024-02-23,30,0.36,Y,350
10188,1,4,Conduit Laying,Electrical,2023-09-16,2023-10-23,37,2.34,Y,18
10189,1,3,Beam Reinforcement Installation,Structural,2024-01-12,2024-01-27,15,0.56,N,175
10190,1,3,Underground Drainage,Plumbing,2023-01-27,2023-03-02,34,1.44,Y,424
10191,1,4,Cable Pulling,Electrical,2023-04-10,2023-05-18,38,1.2,N,447
10192,1,1,Floor Tiling,Finishing,2022-11-06,2022-12-14,38,1.19,N,366
10193,1,1,Conduit Laying,Electrical,2023-12-03,2023-12-15,12,1.38,N,280
10194,1,1,Internal Plastering,Finishing,2023-05-25,2023-06-20,26,0.32,Y,421
10195,1,2,Underground Drainage,Plumbing,2023-09-06,2023-10-07,31,1.99,Y,109
10196,1,1,Internal Road Works,Civil,2024-01-12,2024-01-30,18,2.09,Y,216
10197,1,3,Site Clearing and Grading,Civil,2023-04-24,2023-05-09,15,1.82,N,442
10198,1,3,Conduit Laying,Electrical,2023-06-17,2023-06-26,9,0.36,Y,255
10199,1,4,Painting and Polishing,Finishing,2022-05-22,2022-06-05,14,1.85,N,229
10200,1,2,Site Clearing and Grading,Civil,2024-03-08,2024-04-08,31,1.58,N,281
10201,1,2,Site Clearing and Grading,Civil,2024-01-31,2024-03-08,37,2.72,Y,219
10202,1,1,Site Clearing and Grading,Civil,2024-03-12,2024-03-26,14,0.89,Y,67
10203,1,4,Underground Drainage,Plumbing,2023-01-19,2023-02-10,22,2.28,Y,473
10204,1,1,Backfilling and Compaction,Civil,2024-05-16,2024-06-01,16,1.09,N,236
10205,1,1,Conduit Laying,Electrical,2024-04-15,2024-04-24,9,0.46,Y,200
10206,1,4,Cable Pulling,Electrical,2024-04-27,2024-05-14,17,1.94,N,189
10207,1,2,Painting and Polishing,Finishing,2023-07-05,2023-08-11,37,0.69,Y,186
10208,1,4,Beam Reinforcement Installation,Structural,2023-08-13,2023-09-13,31,2.85,N,150
10209,1,1,Conduit Laying,Electrical,2024-01-08,2024-02-05,28,2.54,N,300
10210,1,4,Underground Drainage,Plumbing,2023-05-02,2023-06-02,31,1.92,Y,414
10211,1,3,Water Supply Line Installation,Plumbing,2024-03-17,2024-03-24,7,1.01,N,81
10212,1,2,Internal Plastering,Finishing,2023-02-01,2023-02-17,16,1.04,N,178
10213,1,4,Internal Plastering,Finishing,2023-10-16,2023-11-23,38,0.84,Y,159
10214,1,4,Internal Plastering,Finishing,2024-03-05,2024-04-06,32,2.21,N,301
10215,1,3,Internal Road Works,Civil,2023-07-26,2023-08-07,12,2.38,Y,204
10216,1,3,Painting and Polishing,Finishing,2023-01-02,2023-02-11,40,1.59,Y,97
10217,2,3,Footing Reinforcement Fixing,Structural,2022-10-24,2022-11-18,25,1.86,N,207
10218,2,4,Internal Plastering,Finishing,2022-12-30,2023-01-08,9,1.31,Y,191
10219,2,1,Underground Drainage,Plumbing,2022-09-28,2022-10-25,27,1.23,Y,49
10220,2,2,Excavation for Foundations,Civil,2023-11-22,2023-12-30,38,1.01,N,219
10221,2,3,Internal Road Works,Civil,2023-12-20,2024-01-04,15,2.58,N,103
10222,2,1,Beam Reinforcement Installation,Structural,2022-07-16,2022-07-24,8,0.39,N,446
10223,2,1,Water Supply Line Installation,Plumbing,2022-06-26,2022-07-28,32,2.21,Y,132
10224,2,4,Panel Installation,Electrical,2022-12-16,2022-12-28,12,0.79,Y,190
10225,2,3,Column Casting,Structural,2022-10-15,2022-10-24,9,2.84,Y,463
10226,2,4,Internal Plastering,Finishing,2022-06-09,2022-07-02,23,0.45,Y,163
10227,2,1,Excavation for Foundations,Civil,2023-02-21,2023-03-28,35,1.57,N,132
10228,2,4,Underground Drainage,Plumbing,2023-05-10,2023-06-16,37,0.76,Y,414
10229,2,1,Footing Reinforcement Fixing,Structural,2023-08-14,2023-09-02,19,0.72,Y,40
10230,2,1,Floor Tiling,Finishing,2022-09-12,2022-10-17,35,2.8,N,432
10231,2,3,Site Clearing and Grading,Civil,2023-07-29,2023-08-26,28,2.52,N,60
10232,2,1,Conduit Laying,Electrical,2023-03-27,2023-04-17,21,0.79,N,284
10233,2,4,Beam Reinforcement Installation,Structural,2022-09-21,2022-10-15,24,1.41,Y,14
10234,2,2,Panel Installation,Electrical,2023-02-19,2023-03-19,28,1.0,Y,163
10235,2,1,Water Supply Line Installation,Plumbing,2022-08-16,2022-09-01,16,2.0,Y,287
10236,2,2,Water Supply Line Installation,Plumbing,2022-08-22,2022-09-14,23,2.92,N,134
10237,2,3,Column Casting,Structural,2022-07-30,2022-08-30,31,1.42,Y,30
10238,2,3,Conduit Laying,Electrical,2022-05-08,2022-06-12,35,1.68,N,1
10239,2,4,Floor Tiling,Finishing,2022-10-29,2022-11-28,30,0.41,N,112
10240,2,2,Panel Installation,Electrical,2022-10-24,2022-11-08,15,1.71,Y,365
10241,2,1,Column Casting,Structural,2023-12-28,2024-01-09,12,2.7,N,390
10242,2,2,Conduit Laying,Electrical,2022-11-18,2022-12-03,15,1.87,Y,6
10243,2,3,Internal Road Works,Civil,2022-06-17,2022-07-27,40,1.21,N,47
10244,2,3,Internal Road Works,Civil,2023-08-23,2023-09-07,15,0.97,N,19
10245,2,3,Slab Shuttering and Pouring,Structural,2023-12-01,2023-12-08,7,1.7,N,496
10246,2,2,Internal Plastering,Finishing,2022-08-23,2022-09-21,29,2.5,N,399
10247,2,4,Underground Drainage,Plumbing,2023-02-14,2023-02-27,13,1.51,Y,272
10248,2,1,Internal Plastering,Finishing,2022-05-13,2022-06-04,22,0.9,Y,86
10249,2,1,Backfilling and Compaction,Civil,2023-01-03,2023-01-11,8,0.56,Y,134
10250,2,4,Internal Road Works,Civil,2023-10-09,2023-10-31,22,0.58,Y,368
10251,2,4,Footing Reinforcement Fixing,Structural,2023-01-26,2023-02-09,14,1.63,N,57
10252,2,2,Site Clearing and Grading,Civil,2023-06-11,2023-06-26,15,2.62,Y,343
10253,2,1,Floor Tiling,Finishing,2023-06-02,2023-06-19,17,2.83,N,356
10254,2,3,Underground Drainage,Plumbing,2023-06-01,2023-06-11,10,1.21,Y,430
10255,2,4,Panel Installation,Electrical,2023-07-12,2023-08-08,27,2.59,Y,167
10256,2,4,Internal Plastering,Finishing,2023-04-18,2023-05-10,22,2.09,Y,187
10257,2,4,Excavation for Foundations,Civil,2022-07-01,2022-07-28,27,0.84,Y,116
10258,2,1,Beam Reinforcement Installation,Structural,2023-06-02,2023-07-08,36,2.49,Y,18
10259,2,1,Floor Tiling,Finishing,2024-01-20,2024-02-13,24,1.98,N,63
10260,2,1,Internal Plastering,Finishing,2023-07-10,2023-08-01,22,1.08,N,178
10261,2,3,Footing Reinforcement Fixing,Structural,2022-06-22,2022-07-31,39,0.53,Y,226
10262,2,3,Excavation for Foundations,Civil,2023-02-16,2023-03-21,33,1.04,Y,380
10263,2,4,Floor Tiling,Finishing,2023-07-31,2023-08-21,21,0.84,N,236
10264,2,4,Floor Tiling,Finishing,2024-01-09,2024-02-15,37,2.51,Y,125
10265,2,4,Conduit Laying,Electrical,2022-11-01,2022-12-10,39,2.92,N,7
10266,2,3,Conduit Laying,Electrical,2022-12-22,2023-01-18,27,1.63,N,450
10267,2,2,Slab Shuttering and Pouring,Structural,2022-06-19,2022-06-27,8,1.79,N,226
10268,2,1,Internal Road Works,Civil,2023-07-16,2023-08-14,29,1.71,Y,214
10269,2,2,Panel Installation,Electrical,2023-04-17,2023-05-02,15,1.96,N,421
10270,2,2,Internal Plastering,Finishing,2023-08-21,2023-09-14,24,1.42,Y,3
10271,2,2,Underground Drainage,Plumbing,2023-09-13,2023-10-15,32,1.43,N,447
10272,2,4,Painting and Polishing,Finishing,2022-08-13,2022-09-13,31,2.17,N,371
10273,2,4,Cable Pulling,Electrical,2023-04-18,2023-05-20,32,2.05,Y,403
10274,2,2,Water Supply Line Installation,Plumbing,2023-07-20,2023-08-15,26,1.75,Y,224
10275,2,1,Floor Tiling,Finishing,2023-12-08,2023-12-29,21,2.52,N,166
10276,2,4,Internal Plastering,Finishing,2023-03-21,2023-04-10,20,2.71,Y,14
10277,2,3,Backfilling and Compaction,Civil,2023-11-21,2023-12-29,38,2.78,N,276
10278,2,4,Floor Tiling,Finishing,2023-10-03,2023-11-12,40,1.35,N,21
10279,2,1,Painting and Polishing,Finishing,2023-04-16,2023-05-21,35,2.13,Y,51
10280,2,2,Water Supply Line Installation,Plumbing,2023-09-16,2023-10-18,32,2.68,N,250
10281,2,1,Water Supply Line Installation,Plumbing,2024-01-21,2024-02-18,28,0.76,N,188
10282,2,1,Backfilling and Compaction,Civil,2023-09-28,2023-10-16,18,2.07,N,354
10283,2,3,Panel Installation,Electrical,2023-06-26,2023-07-13,17,2.5,Y,259
10284,2,1,Beam Reinforcement Installation,Structural,2022-10-25,2022-11-04,10,1.25,Y,355
10285,2,1,Underground Drainage,Plumbing,2022-04-24,2022-05-20,26,2.78,N,432
10286,2,2,Site Clearing and Grading,Civil,2022-05-22,2022-06-10,19,1.64,N,447
10287,2,4,Painting and Polishing,Finishing,2022-09-16,2022-10-05,19,1.92,Y,81
10288,2,1,Painting and Polishing,Finishing,2022-08-09,2022-08-17,8,0.51,N,422
10289,2,3,Water Supply Line Installation,Plumbing,2022-06-24,2022-07-01,7,0.69,Y,182
10290,2,1,Conduit Laying,Electrical,2022-05-25,2022-06-18,24,2.62,Y,179
10291,2,1,Beam Reinforcement Installation,Structural,2024-01-20,2024-02-20,31,0.45,N,299
10292,2,2,Internal Road Works,Civil,2022-06-16,2022-07-08,22,0.9,Y,477
10293,2,4,Internal Plastering,Finishing,2023-03-10,2023-03-17,7,1.12,N,492
10294,2,2,Underground Drainage,Plumbing,2022-12-26,2023-01-26,31,1.42,N,449
10295,2,2,Underground Drainage,Plumbing,2022-12-27,2023-01-08,12,0.76,N,96
10296,2,1,Backfilling and Compaction,Civil,2023-06-01,2023-07-01,30,1.2,N,172
10297,2,3,Underground Drainage,Plumbing,2022-08-26,2022-09-29,34,1.8,N,98
10298,2,4,Water Supply Line Installation,Plumbing,2023-04-09,2023-05-01,22,0.39,Y,175
10299,2,2,Column Casting,Structural,2022-09-01,2022-09-13,12,1.03,Y,285
10300,2,3,Water Supply Line Installation,Plumbing,2022-12-23,2023-01-09,17,1.25,N,193
10301,2,2,Internal Plastering,Finishing,2023-02-20,2023-03-29,37,0.91,N,346
10302,2,3,Slab Shuttering and Pouring,Structural,2023-12-23,2024-01-27,35,1.74,N,312
10303,2,1,Internal Plastering,Finishing,2022-08-28,2022-09-11,14,1.77,N,377
