dependency_id,project_id,predecessor_task_id,successor_task_id,dependency_type,lag_days,critical_dependency_flag
65,24,15352,14966,FS,4,Y
66,7,11677,11375,FF,2,Y
67,26,14310,15322,SS,3,N
68,4,12031,10832,FF,1,N
69,6,12256,11196,FS,1,Y
70,16,10031,13139,FF,1,N
71,20,14016,14063,FF,4,N
72,18,13016,13635,FS,0,Y
73,6,13860,11158,FF,2,N
74,1,14787,10162,FS,1,Y
75,22,10179,14550,SS,1,Y
76,24,12300,14865,FS,0,Y
77,17,11718,13357,FF,2,N
78,3,10655,10471,FS,1,Y
79,9,12272,11764,FS,1,Y
80,15,13011,12944,FF,1,N
81,23,11658,14597,SS,2,Y
82,28,12438,15713,FS,4,Y
83,21,13517,14333,FF,1,N
84,20,12071,14105,FS,0,N
85,26,12878,15370,FS,3,Y
86,6,12465,11219,FS,4,N
87,13,12929,12585,FF,2,N
88,25,10517,15141,FS,1,Y
89,24,14988,14765,FS,0,N
90,28,14885,15622,SS,0,Y
91,20,14518,13972,FF,5,Y
92,13,11549,12671,SS,3,Y
93,23,12107,14670,SS,2,Y
94,23,15648,14638,FS,5,N
95,3,13272,10532,FF,5,Y
96,6,10214,11217,SS,2,N
97,22,14983,14520,FS,2,Y
98,27,13742,15538,FS,2,N
99,22,13108,14474,FF,0,N
100,12,13139,12526,SS,3,N
101,24,11918,14763,SS,4,Y
102,15,13961,13107,SS,2,N
103,20,14770,14101,FF,5,Y
104,4,15146,10748,FF,4,Y
105,21,13849,14330,SS,1,Y
106,1,12423,10211,FS,3,N
107,2,15225,10276,SS,3,Y
108,18,11280,13578,FF,1,N
109,8,13823,11646,FF,4,N
110,11,10634,12254,FF,2,Y
111,7,14071,11429,FF,1,Y
112,15,14309,13086,FS,4,Y
113,17,12410,13492,FF,0,N
114,7,13154,11410,SS,4,Y
115,18,10072,13531,SS,3,N
116,24,10267,14962,FS,2,Y
117,5,14961,11032,SS,5,Y
118,5,12087,10957,SS,3,N
119,24,15555,14975,FS,5,N
120,24,15215,14798,FF,2,Y
121,10,10263,12005,FF,4,Y
122,20,13444,13998,SS,4,N
123,17,12861,13469,FS,0,N
124,12,10532,12371,FS,0,N
125,25,13135,15087,FS,3,Y
126,17,13522,13347,SS,3,N
127,1,11151,10116,FF,5,N
128,18,14931,13728,FS,5,Y
129,19,12279,13812,FF,4,N
130,14,11785,12920,SS,0,Y
131,24,10978,14898,SS,0,N
132,6,11499,11209,FF,0,N
133,10,14357,12115,FS,0,Y
134,24,11501,14832,FF,3,Y
135,9,10491,11855,FF,3,N
136,7,13393,11451,FS,1,Y
137,25,10937,15016,SS,3,N
138,16,10422,13126,SS,4,N
139,5,15281,10922,SS,0,Y
140,15,14117,13019,SS,0,N
141,19,12119,13822,FF,4,N
142,4,10275,10707,FS,3,Y
143,16,10541,13210,SS,5,N
144,20,15059,14073,FS,3,Y
145,12,11704,12347,FF,5,Y
146,6,11816,11261,SS,1,N
147,11,15029,12311,SS,5,Y
148,11,11030,12235,FS,3,N
149,13,12566,12729,SS,1,N
150,4,13485,10831,FS,4,N
151,6,14933,11292,FF,4,Y
152,22,10140,14438,FF,1,Y
153,24,12032,14817,FS,3,N
154,19,13177,13789,FS,1,N
155,23,12508,14611,FS,0,Y
156,24,10789,14974,FF,4,N
157,16,12068,13303,SS,3,Y
158,17,13359,13417,FS,4,Y
159,4,11683,10699,SS,1,N
160,24,13388,14964,FF,2,N
161,26,11664,15222,SS,0,N
162,22,14624,14508,SS,1,N
163,11,13323,12133,FS,0,Y
164,23,15312,14693,FF,5,N
165,23,13190,14699,FS,4,Y
166,6,14240,11131,SS,0,N
167,6,11065,11269,SS,2,N
168,28,13887,15730,FF,0,Y
169,4,13858,10758,FS,0,Y
170,18,13402,13703,SS,3,N
171,18,14946,13666,FF,5,N
172,4,10694,10652,SS,4,N
173,21,10624,14192,FF,5,Y
174,14,12992,12839,SS,3,N
175,13,12740,12624,SS,5,N
176,11,11756,12125,FS,4,N
177,11,15342,12306,FF,1,N
178,18,14604,13645,FS,4,N
179,19,14684,13784,FS,3,N
180,17,13237,13446,FS,3,Y
181,2,10663,10403,FS,5,Y
182,15,12850,13028,FF,1,Y
183,1,10089,10084,FS,0,N
184,3,11346,10420,FF,4,Y
185,1,12366,10180,FS,1,N
186,8,15202,11687,FS,1,N
187,12,11949,12421,FS,4,Y
188,15,12281,13017,FF,5,Y
189,24,11685,14939,FF,1,Y
190,3,14343,10434,SS,4,Y
191,13,15236,12668,FS,5,Y
192,9,12446,11750,SS,0,Y
193,23,10962,14712,FF,2,Y
194,5,11193,10982,FS,1,N
195,6,10390,11077,FF,1,N
196,4,13638,10801,FF,5,N
197,17,14823,13424,SS,4,Y
198,12,11595,12396,SS,4,N
199,8,15265,11494,FS,1,Y
200,3,15288,10641,FF,3,Y
201,23,12247,14671,FS,1,N
202,13,15650,12601,SS,2,N
203,15,10693,13042,FS,2,N
204,8,12838,11685,SS,4,N
205,22,13635,14475,SS,1,Y
206,15,11557,12941,FF,4,N
207,11,11224,12322,SS,0,Y
208,22,11146,14484,FF,3,Y
209,17,12487,13385,SS,3,Y
210,24,10958,14839,FS,2,N
211,7,12524,11376,FF,4,Y
212,12,10964,12498,FS,1,N
213,5,12931,10963,FF,3,Y
214,26,12463,15225,SS,2,Y
215,18,14561,13603,FF,1,N
216,11,14726,12248,FF,0,Y
217,2,11619,10346,FF,4,N
218,5,14892,10969,SS,3,Y
219,11,13383,12297,FF,5,Y
220,8,15087,11507,FF,5,Y
221,5,14176,10972,FF,3,Y
222,18,11035,13711,SS,5,Y
223,18,12793,13669,FS,4,N
224,4,10882,10738,SS,1,N
225,25,11235,14985,SS,2,N
226,22,15693,14479,SS,4,N
227,18,12098,13547,FF,1,N
228,24,14742,14787,SS,5,Y
229,9,12892,11773,SS,2,N
230,2,15059,10319,FF,3,N
231,17,10088,13500,SS,0,N
232,3,12896,10501,SS,5,N
233,20,15351,14102,FF,1,Y
234,19,11798,13835,FF,1,Y
235,25,10596,15018,SS,5,N
236,18,10882,13641,FF,2,Y
237,6,12148,11137,FF,2,N
238,28,10450,15714,FS,2,Y
239,15,13992,13026,SS,1,N
240,24,14604,14783,FF,0,Y
241,13,11019,12541,FF,0,N
242,21,12409,14189,FF,5,Y
243,20,14146,14025,FF,5,Y
244,19,12456,13930,SS,4,Y
245,5,14584,10913,SS,4,Y
246,6,11027,11167,SS,0,Y
247,27,12297,15460,FS,4,Y
248,1,11939,10150,SS,3,N
249,16,12731,13321,SS,3,Y
250,22,14153,14542,FS,3,Y
251,24,11223,14766,SS,3,Y
252,11,13579,12191,FS,5,Y
253,5,11719,11060,FS,3,Y
254,19,12955,13900,FF,5,N
255,11,12615,12307,SS,3,N
256,20,10672,14037,FS,2,N
257,14,14863,12934,FF,3,Y
258,12,10761,12467,FF,3,N
259,18,11247,13680,SS,2,Y
260,9,14873,11730,FF,3,N
261,24,12659,14969,FS,1,Y
262,14,10982,12921,FS,1,Y
263,10,11835,11998,SS,2,Y
264,21,12625,14339,SS,5,Y
265,27,14755,15483,FF,0,N
266,26,11370,15284,SS,5,Y
267,15,15304,13039,FS,5,N
268,21,10985,14361,FF,3,N
269,12,13424,12420,SS,1,Y
270,9,14536,11731,FF,1,Y
271,19,10521,13783,FF,3,Y
272,26,12569,15239,FS,5,Y
273,1,11253,10146,SS,3,Y
274,19,13751,13895,FS,0,N
275,26,13589,15307,FF,5,N
276,23,12245,14625,SS,5,Y
277,2,10271,10306,SS,1,Y
278,15,15185,13097,FS,3,Y
279,8,13557,11638,SS,4,Y
280,4,15452,10853,FF,2,Y
281,13,11967,12562,FF,3,Y
282,15,12129,12963,SS,1,Y
283,28,15017,15588,FF,2,N
284,1,12077,10009,FF,5,Y
285,16,11144,13274,FF,1,N
286,12,12978,12387,SS,5,N
287,12,11183,12524,FF,3,Y
288,3,10155,10433,SS,3,Y
289,10,13097,12092,SS,3,Y
290,11,10429,12266,FS,5,Y
291,6,12130,11182,FF,0,N
292,8,12546,11585,FF,3,N
293,14,10593,12802,FF,4,Y
294,3,12662,10408,FS,3,N
295,11,15008,12143,FF,3,N
296,24,12982,14849,SS,5,Y
297,9,13110,11788,SS,2,N
298,18,15343,13610,FF,0,N
299,14,11726,12818,FS,5,N
300,16,15622,13236,FS,3,N
301,24,11659,14836,FF,4,N
302,3,14166,10617,SS,4,Y
303,5,10204,10988,FS,1,N
304,4,15003,10717,FS,3,Y
305,26,13901,15250,FF,0,Y
306,27,15074,15529,FF,4,N
307,22,10643,14422,SS,1,N
308,14,14264,12912,FS,5,N
309,24,12036,14822,FS,2,Y
310,5,12516,11016,FF,0,Y
311,2,10713,10326,SS,1,Y
312,26,15187,15233,SS,1,N
313,8,12563,11707,FF,0,N
314,22,15140,14388,FS,2,Y
315,21,12856,14375,FF,3,Y
316,6,10157,11170,FF,2,Y
317,20,10054,14022,FF,5,Y
318,18,12822,13706,SS,0,Y
319,11,13031,12312,FF,1,Y
320,15,14019,13078,SS,2,N
321,4,10924,10869,FF,3,Y
322,7,11568,11408,FF,3,Y
323,17,13212,13374,FS,1,N
324,3,15014,10583,SS,5,N
325,21,11174,14220,SS,1,Y
326,13,15732,12535,FS,2,Y
327,21,15573,14210,FS,1,N
328,21,11815,14351,FF,0,N
329,7,12876,11424,FF,1,N
330,1,13248,10102,FS,1,Y
331,4,11301,10774,FF,5,Y
332,7,10744,11355,FS,3,Y
333,8,11226,11599,FS,0,N
334,18,14189,13516,FS,1,N
335,14,13513,12791,SS,3,Y
336,19,12389,13743,SS,2,Y
337,3,11579,10447,SS,5,Y
338,24,13299,14758,FS,1,N
339,1,12031,10074,FS,5,N
340,17,14028,13477,SS,3,N
341,14,11662,12905,FF,5,N
342,16,12700,13162,FF,2,N
343,20,10761,14092,FF,2,Y
344,4,13968,10719,FS,3,Y
345,21,14344,14371,FF,3,N
346,7,12831,11314,FS,3,N
347,22,12289,14376,SS,3,N
348,17,14888,13344,FS,2,Y
349,17,12431,13466,SS,2,N
350,10,11473,12030,SS,2,N
351,11,11822,12282,FF,1,Y
352,22,10554,14547,FF,5,N
353,15,13297,12993,FF,2,N
354,6,11635,11194,FF,1,N
355,26,13355,15376,FS,1,N
356,16,13284,13208,FS,4,Y
357,16,12671,13219,SS,5,N
358,1,10780,10081,SS,0,N
359,13,14027,12653,FS,3,Y
360,24,13969,14936,FS,3,N
361,10,10407,11956,FF,4,N
362,20,13406,14091,FS,1,Y
363,9,13397,11848,SS,1,Y
364,8,14972,11537,SS,1,Y
365,14,11524,12797,FS,5,N
366,1,15389,10122,SS,3,Y
367,5,10001,10894,SS,3,Y
368,18,12188,13618,SS,2,Y
369,4,13255,10757,SS,3,Y
370,12,15614,12517,FS,3,Y
371,9,12085,11832,FF,3,N
372,18,10190,13580,SS,2,N
373,17,11463,13481,FS,5,Y
374,20,14470,13978,FS,1,Y
375,9,11156,11779,FF,2,N
376,12,12635,12408,SS,1,N
377,27,15580,15469,FS,0,N
378,16,14601,13314,FF,5,Y
379,23,14964,14745,FS,5,Y
380,24,10273,14841,SS,1,N
381,6,15181,11096,FS,3,Y
382,17,14996,13412,SS,2,N
383,28,14222,15669,SS,3,Y
384,12,13706,12511,SS,0,N
385,13,14811,12634,FF,3,Y
386,4,11103,10798,SS,3,N
387,28,12405,15721,FS,1,N
388,19,13301,13826,SS,4,N
389,14,15003,12917,FF,3,Y
390,8,11851,11697,FF,2,N
391,11,15473,12268,SS,4,N
392,6,12110,11078,SS,3,Y
393,26,11423,15388,FF,5,N
394,26,14630,15316,FS,5,N
395,21,14429,14204,SS,2,N
396,25,15236,14995,SS,0,Y
397,28,10648,15644,SS,5,N
398,4,14694,10664,FF,2,Y
399,27,15134,15509,FF,1,Y
400,19,12041,13800,FS,1,Y
401,21,12296,14187,FF,2,Y
402,24,15454,14901,FS,1,N
403,21,14729,14264,FS,4,N
404,28,10637,15663,FF,0,Y
405,22,15251,14527,SS,4,N
406,6,14949,11223,SS,1,Y
407,14,14261,12856,SS,5,N
408,25,10460,15124,SS,0,Y
409,2,15078,10222,SS,1,Y
410,3,10032,10626,FF,0,N
411,3,14391,10604,FS,2,N
412,24,12607,14954,FS,5,Y
413,26,15397,15373,FS,4,N
414,26,13157,15390,FF,2,Y
415,17,11759,13463,FS,0,N
416,16,11923,13279,SS,2,Y
417,1,12037,10188,SS,1,N
418,8,11348,11703,FF,3,Y
419,26,13254,15402,FF,0,N
420,16,13933,13169,FF,2,N
421,27,10825,15570,SS,0,N
422,21,11026,14289,FF,0,N
423,5,14348,10961,FF,1,Y
424,5,11614,10906,SS,5,Y
425,20,14721,14038,FF,2,N
426,16,10460,13284,FF,1,Y
427,25,15325,15101,FF,1,Y
428,1,12707,10101,SS,4,Y
429,18,12665,13723,FF,4,Y
430,14,12187,12787,SS,3,Y
431,17,12200,13402,FS,4,N
432,24,11049,14768,FF,5,N
433,27,15484,15490,FS,2,N
434,4,11614,10677,SS,4,Y
435,5,12107,10935,FS,4,N
436,1,13671,10068,SS,4,Y
437,23,14353,14735,FF,3,Y
438,13,15010,12639,SS,3,N
439,11,15178,12164,SS,0,Y
440,10,12686,11954,SS,4,N
441,2,15677,10360,FF,5,N
442,25,13451,15015,SS,0,Y
443,8,10578,11705,FS,2,Y
444,5,12121,10933,FS,0,Y
445,27,15122,15444,FF,0,N
446,25,12516,15190,FS,1,N
447,21,13839,14328,FF,2,Y
448,5,11699,11059,FS,5,N
449,28,12754,15660,SS,5,N
450,14,13239,12899,FF,3,N
451,21,11818,14207,FS,4,N
452,6,13957,11180,FS,5,N
453,8,11489,11691,FF,3,N
454,15,11613,12951,SS,5,N
455,27,15699,15566,FF,5,N
456,10,12192,11991,FF,2,Y
457,7,11529,11422,FS,5,N
458,12,11467,12450,FS,1,Y
459,6,13123,11210,SS,5,Y
460,17,14113,13340,FF,2,N
461,26,10909,15228,FS,4,Y
462,3,14615,10474,FF,5,N
463,2,12166,10232,FS,5,Y
464,23,11888,14584,SS,4,Y
465,25,12399,15142,FS,4,N
466,18,13071,13514,FF,5,Y
467,20,11769,13968,FS,1,N
468,8,14464,11681,FF,3,N
469,20,10113,13979,FF,5,N
470,10,10930,12095,FF,4,N
471,10,15005,11963,FF,4,N
472,3,13935,10597,SS,5,Y
473,25,14453,15123,FS,0,Y
474,28,14047,15726,SS,4,Y
475,14,15668,12769,FS,5,N
476,20,10627,14140,SS,5,N
477,4,11451,10736,FS,5,N
478,18,11192,13612,FF,0,Y
479,14,11391,12840,SS,5,N
480,18,12231,13713,FS,4,N
481,24,12293,14950,FS,5,N
482,1,10676,10079,SS,2,N
483,24,12019,14951,SS,2,N
484,27,11312,15475,FF,2,Y
485,6,12193,11105,SS,1,N
486,9,14073,11838,SS,4,N
487,16,13729,13160,SS,3,N
488,10,14397,11966,SS,0,Y
489,18,12212,13690,FF,3,N
490,13,15678,12689,FF,0,Y
491,10,12465,11950,FS,5,N
492,25,10474,15180,SS,1,Y
493,21,11858,14314,FF,1,N
494,14,13617,12907,FF,2,N
495,6,11238,11173,FS,5,N
496,14,15155,12832,FF,2,N
497,7,11797,11407,FF,5,Y
498,10,13599,11936,SS,3,Y
499,17,15116,13396,FS,3,Y
500,20,10227,14066,SS,3,N
501,10,14388,12104,SS,3,N
502,21,14928,14206,FF,5,N
503,25,10962,15189,SS,5,N
504,7,10691,11392,FS,5,Y
505,1,12675,10136,SS,2,N
506,28,12161,15696,FS,4,N
507,23,13671,14717,FF,5,Y
508,21,10190,14202,FF,0,N
509,15,12272,13111,FS,2,N
510,24,15213,14772,FS,3,N
511,26,14854,15287,SS,5,N
512,2,10196,10229,SS,4,N
513,19,10276,13791,FF,3,N
514,27,14567,15459,FF,4,Y
515,25,15264,15153,SS,0,N
516,5,14840,10997,SS,3,N
517,19,12875,13745,FF,4,Y
518,24,12309,14778,FF,5,N
519,11,10255,12303,FS,5,N
520,10,15743,12119,FS,4,Y
521,4,12466,10733,FF,4,Y
522,13,12139,12595,FF,0,Y
523,25,10431,15084,FS,2,N
524,4,14026,10713,FF,1,N
525,18,11561,13716,SS,3,Y
526,13,11643,12714,FS,3,N
527,20,15206,14024,SS,4,N
528,26,14759,15412,FS,0,N
529,26,12044,15242,FF,0,N
530,9,13971,11884,FS,1,N
531,24,12162,14958,SS,3,N
532,12,15236,12415,FS,0,Y
533,6,13080,11280,FF,2,Y
534,19,10987,13767,FS,1,Y
535,11,14311,12285,FS,4,N
536,20,14690,14114,FS,1,N
537,26,10394,15404,SS,2,Y
538,27,12547,15576,FS,3,N
539,14,15263,12864,SS,3,Y
540,16,14313,13229,FS,1,Y
541,1,12779,10196,FS,4,Y
542,4,12772,10701,FS,3,N
543,4,15124,10789,SS,1,N
544,18,10719,13546,SS,3,Y
545,27,10381,15586,FF,2,Y
546,20,11978,13999,SS,1,Y
547,22,14342,14575,SS,1,N
548,14,14537,12788,SS,2,N
549,25,14382,15061,FF,2,N
550,13,12978,12547,FS,2,Y
551,14,13734,12831,FF,3,Y
552,7,12099,11391,FS,2,Y
553,14,13384,12873,FS,0,N
554,18,14700,13551,FS,4,Y
555,23,10901,14740,FS,5,N
556,25,10033,14984,FF,1,N
557,12,14324,12369,FF,4,Y
558,7,13351,11490,FF,2,Y
559,3,13262,10475,SS,3,Y
560,6,12277,11243,FS,5,Y
561,19,14112,13827,SS,1,Y
562,21,10566,14350,SS,2,N
563,20,14893,14000,SS,5,Y
564,6,11967,11253,SS,4,Y
565,18,14519,13683,FF,0,Y
566,20,15433,14048,FF,0,Y
567,17,10622,13440,FF,0,Y
568,5,10878,11003,SS,1,Y
569,1,13369,10080,SS,0,Y
570,10,14254,11982,FS,2,N
571,22,13098,14383,FS,1,N
572,5,11165,11024,SS,2,Y
573,4,10621,10730,FF,3,Y
574,4,10466,10861,FS,4,N
575,23,14163,14656,FF,0,N
576,2,15741,10329,FS,1,Y
577,22,12295,14435,FF,0,Y
578,1,10434,10173,FF,5,N
579,21,11580,14229,FS,5,Y
580,12,12099,12528,FF,4,Y
581,21,13547,14282,FS,4,N
582,4,14573,10841,FF,4,Y
583,22,13144,14454,SS,4,N
584,25,15590,14989,FS,1,N
585,7,11675,11445,FF,5,N
586,9,14678,11880,FS,0,Y
587,22,11831,14430,SS,5,Y
588,18,13646,13691,FS,0,N
589,16,12544,13324,FF,4,N
590,10,14010,12037,SS,1,N
591,10,12611,11967,SS,5,Y
592,25,11337,15160,SS,3,Y
593,2,10315,10244,FS,0,N
594,28,14111,15649,FF,1,Y
595,15,12914,13112,SS,3,N
596,15,10616,12973,FS,5,N
597,15,14866,13009,SS,5,Y
598,19,11644,13808,SS,1,N
599,4,13731,10684,SS,1,Y
600,5,14288,10980,FF,2,N
601,16,12155,13330,SS,4,N
602,9,10101,11846,FF,3,N
603,12,14746,12457,FS,2,N
604,28,10256,15675,FF,3,Y
605,26,13588,15285,SS,4,Y
606,24,14604,14897,SS,2,Y
607,13,10329,12531,FS,5,Y
608,21,14481,14359,SS,5,N
609,14,12398,12799,FS,3,N
610,10,15267,12087,FS,2,Y
611,5,11138,10949,FS,1,N
612,18,13231,13530,FF,2,N
613,19,14797,13796,SS,0,N
614,3,13070,10445,FS,5,Y
615,24,12136,14889,SS,2,Y
616,23,11522,14613,SS,4,N
617,14,13619,12838,SS,0,Y
618,3,10557,10460,FS,5,N
619,13,12717,12654,FF,1,Y
620,23,10226,14629,FF,3,Y
621,3,12942,10416,FS,1,N
622,24,11818,14774,SS,2,Y
623,17,10772,13401,FF,5,N
624,1,14846,10184,FS,1,N
625,10,13962,12027,SS,5,N
626,17,14898,13423,SS,4,N
627,26,15371,15278,FS,3,N
628,23,14508,14662,SS,3,N
629,26,15071,15318,FS,3,Y
630,8,12690,11544,FF,1,Y
631,7,15469,11437,FF,2,Y
632,7,13136,11329,FS,3,N
633,27,12272,15535,FS,3,N
634,19,15101,13854,FF,4,N
635,22,10848,14534,FS,1,N
636,19,14912,13749,FF,3,Y
637,12,12846,12509,SS,3,N
638,22,15032,14522,FF,4,Y
639,23,11952,14621,FF,0,N
640,7,10622,11307,FF,2,Y
641,17,13508,13367,FF,5,Y
642,23,11207,14674,FF,4,N
643,28,10400,15715,SS,5,Y
644,11,11538,12247,FS,2,N
645,19,13072,13803,SS,3,Y
646,2,13717,10337,FF,5,N
647,26,11560,15207,FF,0,N
648,25,14417,15162,FS,2,Y
649,17,15523,13420,FS,4,Y
650,2,10384,10280,FF,1,N
651,27,10951,15481,FS,5,N
652,22,11694,14548,FF,1,Y
653,17,14958,13369,FS,3,N
654,17,11282,13341,FF,2,N
655,13,10851,12703,FS,3,Y
656,13,14706,12594,SS,4,Y
657,1,12971,10139,SS,2,Y
658,7,13991,11385,FS,1,N
659,25,12657,15105,SS,5,Y
660,25,11524,15033,FS,4,Y
661,3,15653,10505,FS,5,N
662,26,13824,15230,FS,3,N
663,15,13052,13055,FF,3,Y
664,1,15713,10214,FF,2,N
665,16,14488,13206,SS,2,N
666,13,14735,12709,FS,4,N
667,21,13629,14238,FF,2,N
668,5,11649,11011,FF,1,Y
669,7,14166,11403,SS,1,N
670,1,14327,10121,FF,1,N
671,2,12402,10388,FF,3,N
672,3,14458,10563,FS,0,Y
673,11,11350,12336,FF,2,N
674,16,12412,13251,FS,5,N
675,15,13446,13054,SS,5,Y
676,26,12687,15273,FS,1,N
677,18,15222,13710,FF,1,N
678,7,11008,11351,FF,1,Y
679,19,15076,13932,FF,3,Y
680,13,13725,12706,SS,2,N
681,17,13933,13465,FF,1,N
682,13,11928,12713,SS,3,Y
683,7,11925,11344,FF,5,Y
684,24,13264,14779,FS,2,N
685,16,10097,13266,FS,1,N
686,27,13631,15457,FF,1,Y
687,21,14842,14197,SS,1,Y
688,19,14159,13778,FS,1,Y
689,22,10664,14395,SS,1,N
690,25,11496,15117,SS,4,Y
691,8,13981,11684,FF,1,N
692,18,13568,13678,SS,0,Y
693,8,15531,11548,SS,2,Y
694,14,12626,12922,FF,0,Y
695,9,14597,11732,FF,2,Y
696,21,10392,14257,SS,2,Y
697,18,12546,13614,SS,4,N
698,23,10777,14624,FF,4,Y
699,1,10609,10148,FF,1,Y
700,19,10453,13777,SS,5,Y
701,24,14497,14971,FS,0,Y
702,22,15680,14482,SS,3,N
703,23,11622,14748,FF,4,Y
704,20,11629,14058,FF,4,N
705,15,11218,13087,SS,4,N
706,11,15098,12139,FF,3,N
707,27,12901,15445,FS,0,Y
708,17,13555,13478,SS,2,Y
709,9,14419,11812,FF,0,Y
710,1,11968,10036,FF,4,Y
711,2,14289,10373,FF,2,N
712,3,13565,10632,FF,0,N
713,17,15353,13350,FF,1,N
714,18,11074,13677,FS,5,Y
715,27,10326,15577,FS,1,Y
716,27,12198,15486,FS,4,Y
717,4,12283,10742,FF,2,N
718,11,14359,12194,FS,4,Y
719,25,15717,15069,SS,2,N
720,25,11547,15143,SS,0,N
721,24,10208,14906,SS,3,Y
722,5,12779,10954,SS,4,Y
723,23,15538,14753,FF,1,Y
724,12,15498,12356,FS,4,N
725,12,14046,12353,FS,3,N
726,3,14722,10454,FF,5,Y
727,7,14914,11389,SS,2,N
728,28,12312,15737,SS,1,N
729,12,11928,12479,SS,2,N
730,26,12410,15398,FF,3,Y
731,9,11307,11768,FS,2,N
732,8,10619,11642,FF,5,N
733,9,12759,11740,FF,0,Y
734,13,15698,12574,SS,3,N
735,14,11458,12740,FF,0,N
736,26,13678,15317,SS,5,N
737,12,11768,12510,FS,5,Y
738,17,12264,13346,FF,3,N
739,6,10917,11142,FS,4,Y
740,4,13065,10740,FF,2,Y
741,8,14511,11536,FF,1,N
742,7,12975,11460,FS,2,Y
743,8,14245,11587,SS,5,N
744,9,14966,11872,FS,2,Y
745,5,10094,10916,SS,5,N
746,6,10566,11129,SS,2,Y
747,12,11622,12398,SS,0,Y
748,27,12192,15499,FS,4,N
749,5,12618,10966,FS,0,Y
750,22,15149,14444,FS,2,Y
751,13,11293,12651,FS,2,Y
752,8,10963,11593,FF,3,N
753,9,10717,11742,FS,2,N
754,4,12107,10808,FS,3,Y
755,24,10028,14912,SS,3,Y
756,3,15520,10449,SS,2,Y
757,1,10481,10208,FS,1,N
758,14,10687,12911,SS,0,Y
759,15,10793,12987,FS,5,Y
760,5,13366,10877,FF,5,N
761,28,14641,15691,FS,1,N
762,25,15466,15184,FS,2,N
763,6,10022,11108,FF,0,N
764,20,13643,14040,SS,4,Y
765,11,11181,12339,FS,3,N
766,11,15306,12216,SS,1,N
767,27,14447,15578,FF,0,Y
768,1,12205,10086,FF,2,N
769,26,12406,15323,SS,0,N
770,25,13800,15186,SS,2,Y
771,22,11737,14541,SS,2,Y
772,16,15201,13263,SS,5,N
773,5,11201,10975,FF,5,Y
774,26,11751,15353,FS,0,Y
775,25,12597,14990,FF,0,Y
776,13,12747,12687,FS,1,N
777,15,12448,13093,FS,2,N
778,28,14223,15707,FF,1,N
779,16,13717,13273,SS,1,N
780,5,13412,10950,FS,4,Y
781,5,10790,10962,SS,3,N
782,28,13725,15630,FF,1,N
783,22,11414,14441,FS,3,N
784,25,13399,15057,FS,4,Y
785,17,14532,13410,SS,5,Y
786,4,15624,10747,FS,2,N
787,18,11300,13572,FF,2,Y
788,11,12068,12219,FS,4,Y
789,24,13796,14973,SS,0,Y
790,15,12430,13048,SS,2,Y
791,21,12625,14276,SS,2,N
792,26,14850,15339,FF,1,N
793,11,14756,12291,FS,1,N
794,26,15620,15198,FF,2,N
795,15,12707,13032,FS,3,Y
